      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 96.855  , 98.697 ,    74.167     ,   60.282   ,     65.846     ,  96.231   , 12.762 ,   18.991   ,  78.700   ,   10.492
   bottle_cap    , 99.101  , 99.602 ,    90.501     ,   90.786   ,     82.353     ,  99.125   , 32.347 ,   35.449   ,  95.405   ,   21.543
 button_battery  , 71.160  , 86.864 ,    70.150     ,   79.108   ,     79.279     ,  95.357   , 28.002 ,   33.496   ,  80.976   ,   20.117
     end_cap     , 77.083  , 83.283 ,    70.431     ,   70.716   ,     75.810     ,  92.488   , 6.054  ,   14.526   ,  80.533   ,    7.832
     eraser      , 90.184  , 95.572 ,    89.733     ,   88.892   ,     81.948     ,  98.747   , 28.674 ,   35.915   ,  92.340   ,   21.888
    fire_hood    , 82.200  , 91.650 ,    80.024     ,   77.223   ,     69.091     ,  98.447   , 25.294 ,   33.829   ,  86.650   ,   20.358
      mint       , 66.710  , 90.994 ,    65.554     ,   67.700   ,     66.448     ,  93.962   , 12.729 ,   23.456   ,  67.283   ,   13.286
     mounts      , 94.690  , 97.236 ,    81.566     ,   70.242   ,     69.027     ,  98.559   , 26.170 ,   32.115   ,  93.072   ,   19.129
       pcb       , 79.667  , 88.842 ,    77.287     ,   83.497   ,     78.244     ,  95.670   , 7.828  ,   13.203   ,  80.896   ,    7.068
  phone_battery  , 99.020  , 99.530 ,    86.324     ,   82.923   ,     76.836     ,  98.545   , 27.370 ,   33.437   ,  93.926   ,   20.074
   plastic_nut   , 98.560  , 99.292 ,    89.172     ,   82.017   ,     74.708     ,  98.921   , 32.901 ,   39.735   ,  94.274   ,   24.793
  plastic_plug   , 76.716  , 89.526 ,    78.117     ,   71.722   ,     66.092     ,  98.617   , 29.813 ,   37.039   ,  92.975   ,   22.729
 porcelain_doll  , 77.574  , 86.940 ,    74.264     ,   59.183   ,     60.377     ,  97.309   , 10.384 ,   18.888   ,  90.006   ,   10.429
    regulator    , 69.151  , 83.108 ,    53.762     ,   30.556   ,     41.600     ,  89.632   , 1.330  ,   2.335    ,  67.163   ,    1.181
rolled_strip_base, 99.673  , 99.856 ,    97.176     ,   98.791   ,     94.325     ,  99.368   , 25.431 ,   31.919   ,  98.154   ,   18.990
  sim_card_set   , 87.583  , 93.201 ,    91.930     ,   92.041   ,     84.324     ,  98.923   , 49.939 ,   51.726   ,  92.441   ,   34.885
     switch      , 92.606  , 96.057 ,    84.877     ,   87.787   ,     78.555     ,  93.955   , 30.486 ,   38.170   ,  86.040   ,   23.587
      tape       , 99.385  , 99.722 ,    93.604     ,   93.376   ,     86.713     ,  99.377   , 35.136 ,   42.232   ,  97.399   ,   26.768
  terminalblock  , 99.479  , 99.749 ,    90.718     ,   92.100   ,     86.730     ,  99.353   , 32.925 ,   37.466   ,  97.138   ,   23.051
   toothbrush    , 91.095  , 95.218 ,    82.761     ,   85.402   ,     79.287     ,  95.633   , 25.317 ,   32.424   ,  85.697   ,   19.349
       toy       , 78.208  , 89.543 ,    71.052     ,   79.038   ,     74.951     ,  91.942   , 9.265  ,   14.216   ,  78.029   ,    7.652
    toy_brick    , 65.708  , 81.010 ,    60.609     ,   56.023   ,     66.405     ,  96.142   , 7.473  ,   13.887   ,  83.452   ,    7.462
   transistor1   , 98.250  , 99.194 ,    96.008     ,   96.657   ,     91.509     ,  98.973   , 30.856 ,   33.222   ,  95.147   ,   19.920
     u_block     , 96.556  , 98.294 ,    84.667     ,   78.563   ,     69.919     ,  99.137   , 35.446 ,   43.512   ,  95.354   ,   27.805
       usb       , 84.477  , 89.113 ,    80.984     ,   78.455   ,     70.241     ,  98.173   , 25.449 ,   36.434   ,  90.360   ,   22.275
   usb_adaptor   , 93.519  , 97.386 ,    79.103     ,   75.716   ,     68.060     ,  97.630   , 18.661 ,   28.456   ,  87.010   ,   16.588
     vcpill      , 76.240  , 88.589 ,    78.667     ,   78.744   ,     68.362     ,  97.847   , 35.661 ,   44.034   ,  88.279   ,   28.233
  wooden_beads   , 84.736  , 94.089 ,    83.909     ,   83.241   ,     75.581     ,  97.249   , 27.392 ,   34.774   ,  86.447   ,   21.046
    woodstick    , 71.760  , 86.107 ,    75.184     ,   64.874   ,     56.995     ,  94.764   , 18.208 ,   26.390   ,  79.023   ,   15.201
     zipper      , 100.000 ,100.000 ,    97.425     ,   98.455   ,     94.168     ,  98.467   , 50.342 ,   52.983   ,  94.660   ,   36.038
       Avg       , 86.598  , 93.276 ,    80.991     ,   78.470   ,     74.460     ,  96.951   , 24.655 ,   31.142   ,  87.628   ,   18.992
