      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 96.201  , 98.449 ,    75.237     ,   60.943   ,     66.866     ,  96.233   , 12.478 ,   18.382   ,  78.762   ,   10.121
   bottle_cap    , 99.060  , 99.609 ,    90.776     ,   91.067   ,     82.895     ,  99.121   , 32.543 ,   36.001   ,  95.276   ,   21.952
 button_battery  , 70.915  , 86.749 ,    71.271     ,   79.680   ,     79.852     ,  95.370   , 28.055 ,   33.620   ,  80.720   ,   20.207
     end_cap     , 72.155  , 80.046 ,    69.294     ,   69.521   ,     75.556     ,  92.544   , 5.690  ,   14.367   ,  80.458   ,    7.739
     eraser      , 88.502  , 94.968 ,    89.571     ,   88.605   ,     80.757     ,  98.803   , 29.016 ,   36.095   ,  92.687   ,   22.022
    fire_hood    , 82.560  , 91.879 ,    80.218     ,   77.281   ,     69.261     ,  98.412   , 25.651 ,   32.972   ,  86.341   ,   19.741
      mint       , 69.444  , 92.270 ,    65.800     ,   67.988   ,     66.129     ,  94.213   , 12.983 ,   24.604   ,  67.531   ,   14.028
     mounts      , 95.425  , 97.604 ,    82.121     ,   71.726   ,     68.770     ,  98.562   , 27.910 ,   33.187   ,  92.848   ,   19.895
       pcb       , 80.375  , 88.815 ,    77.085     ,   83.715   ,     78.261     ,  95.653   , 9.183  ,   14.389   ,  80.946   ,    7.752
  phone_battery  , 96.936  , 98.340 ,    86.461     ,   83.580   ,     77.260     ,  98.563   , 28.845 ,   34.563   ,  93.958   ,   20.892
   plastic_nut   , 99.400  , 99.697 ,    89.179     ,   82.697   ,     75.000     ,  98.969   , 32.713 ,   39.670   ,  94.320   ,   24.742
  plastic_plug   , 76.757  , 89.770 ,    77.886     ,   72.222   ,     65.753     ,  98.607   , 29.758 ,   37.157   ,  93.005   ,   22.818
 porcelain_doll  , 79.208  , 87.556 ,    74.743     ,   59.086   ,     60.703     ,  97.288   , 10.222 ,   19.029   ,  89.977   ,   10.515
    regulator    , 70.232  , 82.369 ,    54.046     ,   30.801   ,     42.466     ,  89.346   , 1.129  ,   2.177    ,  66.297   ,    1.101
rolled_strip_base, 99.632  , 99.841 ,    97.062     ,   98.758   ,     94.024     ,  99.354   , 24.845 ,   31.195   ,  98.089   ,   18.480
  sim_card_set   , 89.500  , 94.121 ,    91.842     ,   92.224   ,     85.303     ,  98.893   , 49.329 ,   50.759   ,  92.621   ,   34.011
     switch      , 92.688  , 95.967 ,    84.792     ,   87.655   ,     78.673     ,  93.961   , 29.255 ,   36.467   ,  85.917   ,   22.300
      tape       , 99.423  , 99.741 ,    93.285     ,   93.145   ,     86.207     ,  99.375   , 35.380 ,   42.554   ,  97.388   ,   27.028
  terminalblock  , 99.479  , 99.749 ,    90.105     ,   91.678   ,     86.118     ,  99.370   , 32.539 ,   38.012   ,  97.173   ,   23.466
   toothbrush    , 90.482  , 95.169 ,    83.132     ,   85.454   ,     79.140     ,  95.612   , 25.134 ,   33.013   ,  85.507   ,   19.770
       toy       , 77.417  , 87.989 ,    71.088     ,   78.320   ,     74.632     ,  92.071   , 8.970  ,   14.340   ,  78.028   ,    7.724
    toy_brick    , 67.083  , 78.277 ,    60.430     ,   55.796   ,     65.992     ,  96.126   , 9.555  ,   17.059   ,  83.083   ,    9.325
   transistor1   , 98.500  , 99.308 ,    96.269     ,   97.022   ,     91.034     ,  98.952   , 31.170 ,   32.910   ,  94.984   ,   19.696
     u_block     , 97.577  , 98.831 ,    84.224     ,   78.814   ,     70.400     ,  99.070   , 35.711 ,   44.354   ,  95.001   ,   28.497
       usb       , 81.046  , 86.888 ,    80.903     ,   78.427   ,     71.225     ,  98.112   , 25.437 ,   35.105   ,  90.051   ,   21.289
   usb_adaptor   , 93.357  , 97.300 ,    78.963     ,   73.507   ,     67.989     ,  97.597   , 18.770 ,   28.470   ,  86.872   ,   16.598
     vcpill      , 77.280  , 88.491 ,    78.174     ,   78.478   ,     67.422     ,  97.854   , 36.847 ,   44.897   ,  88.143   ,   28.947
  wooden_beads   , 84.311  , 94.103 ,    85.075     ,   83.950   ,     77.259     ,  97.204   , 28.870 ,   35.920   ,  86.319   ,   21.892
    woodstick    , 70.480  , 85.101 ,    74.508     ,   64.364   ,     57.273     ,  94.841   , 20.702 ,   28.481   ,  78.718   ,   16.605
     zipper      , 100.000 ,100.000 ,    97.449     ,   98.421   ,     94.040     ,  98.491   , 50.135 ,   52.999   ,  94.754   ,   36.053
       Avg       , 86.514  , 92.967 ,    81.033     ,   78.497   ,     74.542     ,  96.952   , 24.961 ,   31.425   ,  87.526   ,   19.173
