      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 80.106  , 90.292 ,    69.042     ,   61.175   ,     60.054     ,  95.129   , 16.071 ,   24.068   ,  73.127   ,   13.680
   bottle_cap    , 94.281  , 97.092 ,    86.163     ,   85.573   ,     76.221     ,  98.837   , 28.721 ,   32.883   ,  94.087   ,   19.676
 button_battery  , 69.404  , 85.388 ,    68.969     ,   78.151   ,     80.000     ,  94.034   , 27.300 ,   35.892   ,  77.187   ,   21.871
     end_cap     , 56.010  , 79.229 ,    58.313     ,   67.336   ,     72.852     ,  88.501   , 5.537  ,   14.888   ,  70.275   ,    8.043
     eraser      , 84.054  , 93.715 ,    87.266     ,   87.115   ,     77.852     ,  98.622   , 31.387 ,   39.508   ,  91.388   ,   24.617
    fire_hood    , 79.560  , 90.804 ,    77.156     ,   74.644   ,     66.102     ,  98.274   , 27.447 ,   35.933   ,  84.943   ,   21.902
      mint       , 71.267  , 92.349 ,    66.560     ,   67.132   ,     66.134     ,  93.522   , 10.863 ,   23.652   ,  64.351   ,   13.412
     mounts      , 91.585  , 95.038 ,    81.442     ,   73.317   ,     66.871     ,  97.625   , 29.686 ,   34.226   ,  87.007   ,   20.646
       pcb       , 69.500  , 84.021 ,    68.493     ,   78.570   ,     75.862     ,  93.686   , 6.699  ,   13.252   ,  72.230   ,    7.096
  phone_battery  , 93.505  , 95.794 ,    80.046     ,   78.088   ,     69.519     ,  97.086   , 23.058 ,   31.794   ,  87.711   ,   18.902
   plastic_nut   , 89.960  , 95.442 ,    80.340     ,   71.789   ,     62.222     ,  97.761   , 29.974 ,   36.272   ,  88.480   ,   22.154
  plastic_plug   , 77.819  , 90.327 ,    81.055     ,   77.730   ,     68.085     ,  98.714   , 35.213 ,   42.378   ,  92.944   ,   26.886
 porcelain_doll  , 70.098  , 84.218 ,    71.315     ,   56.354   ,     57.215     ,  97.257   , 8.038  ,   14.061   ,  89.907   ,    7.562
    regulator    , 63.502  , 80.723 ,    48.837     ,   28.210   ,     42.266     ,  84.220   , 0.182  ,   1.367    ,  54.073   ,    0.688
rolled_strip_base, 97.835  , 98.955 ,    94.069     ,   97.354   ,     91.618     ,  99.158   , 25.662 ,   32.428   ,  97.697   ,   19.352
  sim_card_set   , 86.042  , 93.546 ,    89.320     ,   91.077   ,     81.013     ,  99.059   , 50.546 ,   53.395   ,  92.816   ,   36.421
     switch      , 87.786  , 94.116 ,    73.017     ,   78.238   ,     71.138     ,  88.023   , 11.810 ,   20.361   ,  77.708   ,   11.335
      tape       , 94.308  , 97.482 ,    88.532     ,   89.066   ,     82.869     ,  98.394   , 30.050 ,   39.203   ,  93.929   ,   24.381
  terminalblock  , 92.909  , 97.269 ,    82.693     ,   86.639   ,     77.666     ,  98.220   , 25.533 ,   34.837   ,  93.070   ,   21.092
   toothbrush    , 76.266  , 87.206 ,    74.359     ,   77.079   ,     77.366     ,  94.557   , 19.127 ,   26.704   ,  83.002   ,   15.410
       toy       , 63.542  , 81.445 ,    64.911     ,   72.742   ,     73.628     ,  88.738   , 3.421  ,   11.242   ,  68.120   ,    5.956
    toy_brick    , 71.333  , 81.164 ,    69.309     ,   63.529   ,     67.364     ,  97.061   , 13.908 ,   23.455   ,  85.766   ,   13.286
   transistor1   , 95.750  , 97.741 ,    89.621     ,   91.101   ,     85.086     ,  98.584   , 25.331 ,   29.240   ,  93.564   ,   17.123
     u_block     , 86.480  , 93.738 ,    75.276     ,   65.817   ,     60.690     ,  98.779   , 29.862 ,   34.880   ,  93.552   ,   21.124
       usb       , 61.029  , 77.868 ,    69.366     ,   66.083   ,     64.392     ,  96.343   , 12.483 ,   21.924   ,  81.528   ,   12.312
   usb_adaptor   , 83.615  , 92.722 ,    71.827     ,   68.358   ,     59.809     ,  96.627   , 17.635 ,   26.584   ,  83.591   ,   15.330
     vcpill      , 61.960  , 78.963 ,    69.051     ,   66.455   ,     62.268     ,  97.105   , 24.487 ,   33.086   ,  86.211   ,   19.822
  wooden_beads   , 88.861  , 95.712 ,    84.943     ,   82.850   ,     76.471     ,  97.007   , 28.853 ,   36.043   ,  85.742   ,   21.983
    woodstick    , 72.240  , 85.668 ,    76.134     ,   65.037   ,     59.389     ,  95.140   , 24.273 ,   34.645   ,  81.276   ,   20.952
     zipper      , 88.000  , 95.004 ,    67.616     ,   79.890   ,     75.712     ,  96.934   , 24.070 ,   31.440   ,  89.698   ,   18.652
       Avg       , 79.954  , 90.101 ,    75.501     ,   74.217   ,     70.258     ,  95.767   , 21.574 ,   28.988   ,  83.833   ,   17.389
