      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.582  , 93.273 ,    68.400     ,   56.927   ,     59.148     ,  94.767   , 7.373  ,   14.214   ,  73.070   ,    7.651
   bottle_cap    , 82.190  , 92.552 ,    74.794     ,   69.871   ,     70.157     ,  97.746   , 22.621 ,   33.267   ,  90.434   ,   19.952
 button_battery  , 79.371  , 90.623 ,    63.514     ,   74.527   ,     77.698     ,  93.607   , 24.036 ,   30.858   ,  74.451   ,   18.244
     end_cap     , 47.436  , 67.563 ,    58.155     ,   62.825   ,     72.993     ,  87.359   , 3.858  ,   12.583   ,  68.145   ,    6.714
     eraser      , 76.322  , 88.763 ,    83.013     ,   81.947   ,     73.623     ,  98.322   , 26.467 ,   34.044   ,  91.573   ,   20.514
    fire_hood    , 79.960  , 89.553 ,    73.792     ,   68.085   ,     59.939     ,  97.250   , 22.914 ,   31.877   ,  79.847   ,   18.960
      mint       , 61.068  , 87.283 ,    61.963     ,   60.471   ,     65.455     ,  91.177   , 3.999  ,   8.210    ,  55.711   ,    4.280
     mounts      , 90.686  , 94.682 ,    76.799     ,   69.328   ,     63.014     ,  97.053   , 24.793 ,   31.198   ,  85.471   ,   18.482
       pcb       , 71.625  , 83.922 ,    65.393     ,   76.775   ,     76.224     ,  92.710   , 3.097  ,   6.547    ,  68.470   ,    3.384
  phone_battery  , 90.114  , 95.122 ,    78.037     ,   75.700   ,     67.885     ,  95.494   , 18.807 ,   27.871   ,  83.127   ,   16.192
   plastic_nut   , 71.560  , 83.547 ,    72.311     ,   58.395   ,     57.516     ,  97.070   , 18.634 ,   24.600   ,  85.839   ,   14.025
  plastic_plug   , 68.832  , 83.360 ,    74.213     ,   67.558   ,     64.103     ,  97.365   , 22.644 ,   29.572   ,  86.701   ,   17.352
 porcelain_doll  , 73.938  , 84.982 ,    71.867     ,   56.282   ,     58.710     ,  95.547   , 7.087  ,   12.840   ,  85.821   ,    6.861
    regulator    , 49.599  , 71.289 ,    39.128     ,   20.544   ,     41.791     ,  82.146   , 0.128  ,   0.790    ,  47.576   ,    0.397
rolled_strip_base, 90.686  , 95.617 ,    87.804     ,   93.840   ,     88.302     ,  98.298   , 21.343 ,   30.516   ,  95.243   ,   18.006
  sim_card_set   , 85.292  , 93.297 ,    85.542     ,   88.018   ,     77.209     ,  98.644   , 45.762 ,   51.256   ,  89.769   ,   34.460
     switch      , 80.229  , 88.284 ,    60.957     ,   65.979   ,     69.818     ,  86.312   , 5.403  ,   9.566    ,  74.006   ,    5.023
      tape       , 82.385  , 92.781 ,    83.148     ,   80.555   ,     68.182     ,  97.047   , 23.850 ,   35.231   ,  89.767   ,   21.382
  terminalblock  , 86.939  , 94.891 ,    73.803     ,   77.357   ,     75.724     ,  97.551   , 19.790 ,   26.888   ,  90.710   ,   15.532
   toothbrush    , 75.082  , 87.919 ,    70.876     ,   74.338   ,     75.794     ,  90.916   , 9.666  ,   15.999   ,  72.608   ,    8.695
       toy       , 54.958  , 75.696 ,    56.910     ,   62.766   ,     73.448     ,  87.971   , 1.369  ,   6.107    ,  64.060   ,    3.150
    toy_brick    , 67.167  , 73.098 ,    65.983     ,   57.998   ,     66.225     ,  96.557   , 12.889 ,   23.562   ,  80.412   ,   13.354
   transistor1   , 92.583  , 96.451 ,    85.765     ,   87.634   ,     84.116     ,  98.457   , 24.309 ,   30.392   ,  92.573   ,   17.919
     u_block     , 77.296  , 89.302 ,    70.898     ,   59.273   ,     56.494     ,  98.330   , 25.301 ,   28.718   ,  92.100   ,   16.767
       usb       , 47.426  , 71.845 ,    62.255     ,   56.845   ,     64.516     ,  95.160   , 5.216  ,   10.619   ,  76.902   ,    5.607
   usb_adaptor   , 82.729  , 91.904 ,    71.864     ,   67.074   ,     60.510     ,  97.006   , 14.059 ,   24.179   ,  84.190   ,   13.752
     vcpill      , 75.080  , 86.303 ,    72.595     ,   69.663   ,     65.217     ,  97.097   , 18.780 ,   25.088   ,  88.044   ,   14.343
  wooden_beads   , 87.883  , 94.544 ,    80.952     ,   79.130   ,     71.304     ,  96.781   , 23.802 ,   31.164   ,  86.764   ,   18.458
    woodstick    , 75.360  , 87.475 ,    75.531     ,   64.767   ,     58.824     ,  94.376   , 23.689 ,   33.120   ,  79.937   ,   19.846
     zipper      , 99.520  , 99.765 ,    87.260     ,   92.857   ,     82.062     ,  94.755   , 19.515 ,   26.743   ,  82.583   ,   15.436
       Avg       , 76.363  , 87.523 ,    71.784     ,   69.244   ,     68.200     ,  94.762   , 16.707 ,   23.587   ,  80.530   ,   13.825
