      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 94.363  , 97.695 ,    74.604     ,   62.807   ,     64.968     ,  95.928   , 16.411 ,   23.767   ,  76.691   ,   13.486
   bottle_cap    , 97.304  , 98.891 ,    87.583     ,   87.989   ,     80.528     ,  99.079   , 31.500 ,   34.754   ,  95.377   ,   21.032
 button_battery  , 66.912  , 83.459 ,    71.838     ,   79.223   ,     80.297     ,  95.132   , 31.043 ,   37.057   ,  80.488   ,   22.742
     end_cap     , 72.636  , 80.969 ,    68.760     ,   70.161   ,     75.090     ,  91.306   , 6.120  ,   15.192   ,  77.787   ,    8.221
     eraser      , 91.146  , 96.331 ,    89.702     ,   88.968   ,     79.755     ,  98.804   , 31.810 ,   38.330   ,  92.742   ,   23.709
    fire_hood    , 80.480  , 91.095 ,    79.927     ,   77.285   ,     68.644     ,  98.396   , 27.843 ,   36.233   ,  86.423   ,   22.125
      mint       , 68.186  , 91.033 ,    66.868     ,   67.399   ,     66.792     ,  93.910   , 12.231 ,   24.792   ,  67.062   ,   14.150
     mounts      , 91.422  , 94.717 ,    81.031     ,   71.287   ,     67.262     ,  98.407   , 28.509 ,   33.421   ,  92.401   ,   20.063
       pcb       , 66.792  , 80.847 ,    70.016     ,   78.797   ,     77.396     ,  94.493   , 6.221  ,   11.369   ,  77.838   ,    6.027
  phone_battery  , 98.203  , 99.133 ,    85.884     ,   82.982   ,     76.136     ,  98.235   , 26.080 ,   32.026   ,  92.217   ,   19.066
   plastic_nut   , 98.120  , 99.110 ,    88.424     ,   82.025   ,     73.171     ,  98.857   , 33.891 ,   40.780   ,  93.557   ,   25.612
  plastic_plug   , 79.453  , 91.130 ,    80.510     ,   76.545   ,     68.327     ,  98.599   , 35.450 ,   40.331   ,  92.621   ,   25.259
 porcelain_doll  , 78.554  , 89.318 ,    71.267     ,   56.306   ,     57.647     ,  97.136   , 9.043  ,   17.259   ,  89.705   ,    9.445
    regulator    , 65.304  , 79.412 ,    49.013     ,   27.494   ,     41.509     ,  87.035   , 1.043  ,   2.070    ,  61.346   ,    1.046
rolled_strip_base, 98.734  , 99.443 ,    96.183     ,   98.346   ,     93.333     ,  99.435   , 26.569 ,   33.948   ,  98.388   ,   20.444
  sim_card_set   , 87.708  , 93.845 ,    91.205     ,   92.453   ,     85.237     ,  98.919   , 50.322 ,   50.244   ,  92.603   ,   33.550
     switch      , 92.320  , 96.033 ,    81.387     ,   84.402   ,     75.543     ,  91.641   , 22.694 ,   31.290   ,  83.485   ,   18.547
      tape       , 97.923  , 99.043 ,    91.477     ,   91.402   ,     84.800     ,  99.176   , 32.994 ,   41.122   ,  96.573   ,   25.883
  terminalblock  , 99.439  , 99.747 ,    88.134     ,   90.528   ,     82.993     ,  99.086   , 30.862 ,   36.953   ,  96.229   ,   22.664
   toothbrush    , 92.770  , 96.630 ,    80.952     ,   84.326   ,     78.367     ,  95.201   , 24.471 ,   31.430   ,  84.340   ,   18.645
       toy       , 73.208  , 87.066 ,    69.396     ,   78.164   ,     74.021     ,  89.913   , 7.976  ,   14.579   ,  75.083   ,    7.862
    toy_brick    , 73.208  , 81.223 ,    65.652     ,   60.520   ,     66.667     ,  96.657   , 12.189 ,   20.579   ,  84.865   ,   11.470
   transistor1   , 97.458  , 98.564 ,    94.215     ,   94.239   ,     90.476     ,  98.935   , 29.638 ,   32.252   ,  95.023   ,   19.227
     u_block     , 96.429  , 98.328 ,    83.102     ,   78.680   ,     68.908     ,  98.972   , 34.784 ,   43.915   ,  94.724   ,   28.135
       usb       , 76.838  , 85.070 ,    77.133     ,   73.241   ,     68.500     ,  97.461   , 22.000 ,   33.872   ,  86.864   ,   20.389
   usb_adaptor   , 91.264  , 96.650 ,    75.088     ,   70.940   ,     64.000     ,  97.282   , 18.909 ,   30.117   ,  86.737   ,   17.728
     vcpill      , 69.600  , 83.768 ,    75.878     ,   75.371   ,     67.532     ,  97.732   , 34.497 ,   42.976   ,  88.071   ,   27.369
  wooden_beads   , 86.097  , 95.112 ,    85.788     ,   84.745   ,     78.078     ,  97.046   , 29.879 ,   36.677   ,  86.076   ,   22.456
    woodstick    , 72.200  , 85.303 ,    78.017     ,   67.189   ,     61.925     ,  94.899   , 23.076 ,   31.005   ,  79.843   ,   18.347
     zipper      , 100.000 ,100.000 ,    95.988     ,   97.784   ,     93.126     ,  98.222   , 47.679 ,   50.241   ,  93.772   ,   33.548
       Avg       , 85.136  , 92.299 ,    79.834     ,   77.720   ,     73.701     ,  96.530   , 24.858 ,   31.619   ,  86.631   ,   19.275
