      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 72.263  , 84.129 ,    55.394     ,   46.763   ,     54.331     ,  86.947   , 0.398  ,   0.830    ,  59.936   ,    0.417
   bottle_cap    , 36.275  , 64.610 ,    53.763     ,   45.743   ,     60.039     ,  96.868   , 6.916  ,   12.446   ,  87.176   ,    6.636
 button_battery  , 50.082  , 73.262 ,    62.348     ,   68.491   ,     78.853     ,  87.808   , 5.051  ,   7.962    ,  52.989   ,    4.146
     end_cap     , 64.704  , 80.266 ,    62.198     ,   68.265   ,     73.611     ,  81.434   , 0.826  ,   3.691    ,  51.559   ,    1.880
     eraser      , 58.053  , 76.451 ,    63.105     ,   59.858   ,     62.646     ,  95.997   , 9.957  ,   14.656   ,  82.299   ,    7.907
    fire_hood    , 61.920  , 80.272 ,    68.674     ,   57.455   ,     59.048     ,  96.692   , 14.078 ,   20.638   ,  79.025   ,   11.507
      mint       , 71.181  , 91.238 ,    57.495     ,   55.684   ,     64.823     ,  88.935   , 1.314  ,   4.169    ,  53.235   ,    2.129
     mounts      , 39.542  , 59.860 ,    54.886     ,   39.162   ,     54.032     ,  92.899   , 3.843  ,   7.592    ,  73.959   ,    3.946
       pcb       , 51.958  , 71.859 ,    51.296     ,   63.898   ,     75.421     ,  87.750   , 1.395  ,   3.909    ,  59.816   ,    1.993
  phone_battery  , 18.791  , 51.599 ,    44.980     ,   38.277   ,     59.662     ,  87.849   , 0.685  ,   2.788    ,  62.956   ,    1.414
   plastic_nut   , 58.120  , 76.004 ,    63.449     ,   42.694   ,     54.881     ,  88.643   , 1.620  ,   7.031    ,  61.914   ,    3.643
  plastic_plug   , 52.614  , 76.077 ,    66.681     ,   60.436   ,     58.610     ,  92.201   , 16.862 ,   24.300   ,  72.989   ,   13.831
 porcelain_doll  , 75.654  , 85.978 ,    69.156     ,   56.738   ,     54.971     ,  86.142   , 8.984  ,   15.900   ,  74.154   ,    8.637
    regulator    , 57.772  , 75.035 ,    42.302     ,   23.781   ,     41.631     ,  81.743   , 0.088  ,   0.389    ,  50.722   ,    0.195
rolled_strip_base, 74.796  , 85.937 ,    65.784     ,   80.894   ,     81.407     ,  90.954   , 4.773  ,   9.809    ,  77.076   ,    5.157
  sim_card_set   , 34.792  , 64.692 ,    60.975     ,   59.046   ,     68.172     ,  95.617   , 7.259  ,   12.391   ,  77.213   ,    6.605
     switch      , 47.753  , 70.733 ,    47.020     ,   52.250   ,     68.421     ,  78.910   , 1.103  ,   2.421    ,  51.192   ,    1.225
      tape       , 84.423  , 93.208 ,    84.681     ,   84.223   ,     76.806     ,  96.336   , 28.465 ,   40.133   ,  89.644   ,   25.104
  terminalblock  , 72.196  , 81.814 ,    57.204     ,   62.018   ,     70.085     ,  90.879   , 1.259  ,   3.965    ,  69.321   ,    2.022
   toothbrush    , 42.157  , 62.704 ,    56.136     ,   56.962   ,     71.503     ,  84.474   , 2.258  ,   4.633    ,  53.347   ,    2.372
       toy       , 55.500  , 74.965 ,    51.899     ,   59.735   ,     73.519     ,  80.531   , 0.308  ,   0.702    ,  39.653   ,    0.352
    toy_brick    , 65.375  , 79.787 ,    65.632     ,   59.836   ,     66.222     ,  93.080   , 5.410  ,   11.819   ,  64.104   ,    6.281
   transistor1   , 41.583  , 65.198 ,    61.519     ,   65.034   ,     74.115     ,  88.995   , 5.952  ,   10.553   ,  57.101   ,    5.570
     u_block     , 51.871  , 74.639 ,    69.313     ,   49.535   ,     57.239     ,  98.662   , 17.629 ,   25.847   ,  92.821   ,   14.842
       usb       , 71.895  , 82.576 ,    51.745     ,   45.753   ,     60.708     ,  90.119   , 0.851  ,   2.094    ,  63.109   ,    1.058
   usb_adaptor   , 50.322  , 72.946 ,    50.904     ,   43.341   ,     55.787     ,  90.993   , 0.307  ,   0.852    ,  66.984   ,    0.428
     vcpill      , 91.920  , 96.331 ,    67.885     ,   68.825   ,     61.417     ,  95.595   , 21.339 ,   26.773   ,  80.844   ,   15.455
  wooden_beads   , 55.952  , 79.381 ,    64.596     ,   60.398   ,     63.136     ,  93.014   , 7.762  ,   13.517   ,  76.236   ,    7.248
    woodstick    , 67.880  , 84.754 ,    68.536     ,   53.262   ,     50.888     ,  91.794   , 13.549 ,   21.968   ,  72.506   ,   12.339
     zipper      , 65.720  , 77.791 ,    62.268     ,   70.614   ,     75.676     ,  87.365   , 3.345  ,   6.426    ,  60.293   ,    3.320
       Avg       , 58.102  , 76.470 ,    60.061     ,   56.632   ,     64.255     ,  89.974   , 6.453  ,   10.673   ,  67.139   ,    5.922
