      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.221  , 98.044 ,    71.776     ,   53.198   ,     65.583     ,  96.141   , 6.911  ,   11.241   ,  79.204   ,    5.955
   bottle_cap    , 97.998  , 99.204 ,    90.165     ,   90.053   ,     81.944     ,  99.190   , 29.913 ,   34.312   ,  95.673   ,   20.709
 button_battery  , 68.342  , 82.791 ,    75.277     ,   81.304   ,     80.228     ,  95.963   , 29.690 ,   35.478   ,  83.239   ,   21.564
     end_cap     , 77.244  , 85.415 ,    70.665     ,   71.892   ,     77.505     ,  92.544   , 7.207  ,   15.490   ,  80.177   ,    8.395
     eraser      , 83.454  , 93.038 ,    85.296     ,   86.108   ,     75.000     ,  98.817   , 28.164 ,   34.419   ,  92.908   ,   20.787
    fire_hood    , 81.880  , 91.781 ,    79.380     ,   74.658   ,     67.658     ,  98.327   , 17.714 ,   27.400   ,  85.848   ,   15.875
      mint       , 57.161  , 87.586 ,    65.701     ,   66.142   ,     66.412     ,  94.006   , 12.967 ,   20.596   ,  68.151   ,   11.480
     mounts      , 90.931  , 93.084 ,    82.919     ,   71.148   ,     72.289     ,  98.578   , 24.378 ,   31.844   ,  92.621   ,   18.937
       pcb       , 84.375  , 92.111 ,    75.676     ,   84.085   ,     77.239     ,  95.662   , 5.492  ,   10.397   ,  81.687   ,    5.484
  phone_battery  , 96.160  , 98.167 ,    85.625     ,   81.819   ,     75.824     ,  98.490   , 28.815 ,   35.123   ,  92.669   ,   21.303
   plastic_nut   , 91.480  , 96.287 ,    84.077     ,   76.264   ,     71.756     ,  98.945   , 30.867 ,   37.314   ,  94.386   ,   22.936
  plastic_plug   , 77.042  , 89.582 ,    76.006     ,   67.680   ,     64.174     ,  98.550   , 26.570 ,   32.990   ,  92.606   ,   19.753
 porcelain_doll  , 88.235  , 89.101 ,    84.899     ,   72.846   ,     72.800     ,  98.119   , 17.031 ,   24.689   ,  93.005   ,   14.083
    regulator    , 72.035  , 86.536 ,    53.575     ,   30.122   ,     41.880     ,  91.980   , 1.247  ,   1.845    ,  73.528   ,    0.931
rolled_strip_base, 99.632  , 99.831 ,    97.092     ,   98.732   ,     93.725     ,  99.299   , 20.618 ,   28.459   ,  97.838   ,   16.590
  sim_card_set   , 91.375  , 95.601 ,    92.207     ,   91.746   ,     85.794     ,  98.752   , 48.317 ,   48.913   ,  91.839   ,   32.374
     switch      , 94.404  , 97.339 ,    86.134     ,   88.292   ,     80.882     ,  93.870   , 29.453 ,   36.114   ,  86.762   ,   22.036
      tape       , 99.192  , 99.619 ,    95.068     ,   94.152   ,     88.235     ,  99.499   , 39.585 ,   44.736   ,  97.922   ,   28.813
  terminalblock  , 98.918  , 99.569 ,    91.125     ,   91.706   ,     86.854     ,  99.290   , 31.021 ,   36.514   ,  97.061   ,   22.335
   toothbrush    , 89.583  , 95.046 ,    81.847     ,   84.910   ,     79.318     ,  95.786   , 25.042 ,   32.256   ,  86.259   ,   19.229
       toy       , 76.958  , 88.104 ,    72.076     ,   79.055   ,     75.992     ,  92.647   , 9.633  ,   15.795   ,  79.630   ,    8.575
    toy_brick    , 71.625  , 82.763 ,    60.600     ,   58.060   ,     65.143     ,  95.402   , 10.179 ,   18.086   ,  80.365   ,    9.942
   transistor1   , 97.958  , 99.097 ,    96.248     ,   97.321   ,     91.509     ,  99.151   , 33.514 ,   34.541   ,  95.810   ,   20.876
     u_block     , 92.007  , 96.373 ,    80.922     ,   74.327   ,     66.109     ,  99.159   , 34.463 ,   39.794   ,  95.614   ,   24.839
       usb       , 78.227  , 86.298 ,    81.514     ,   77.140   ,     72.296     ,  98.001   , 22.485 ,   32.613   ,  90.553   ,   19.483
   usb_adaptor   , 95.652  , 98.154 ,    75.342     ,   68.434   ,     64.052     ,  97.356   , 13.945 ,   23.634   ,  85.609   ,   13.401
     vcpill      , 80.600  , 91.095 ,    77.666     ,   78.131   ,     67.089     ,  97.780   , 39.440 ,   45.475   ,  87.361   ,   29.429
  wooden_beads   , 84.226  , 93.322 ,    85.854     ,   84.047   ,     77.586     ,  97.219   , 28.988 ,   33.263   ,  86.403   ,   19.949
    woodstick    , 71.040  , 83.578 ,    73.100     ,   57.359   ,     56.140     ,  94.173   , 15.965 ,   21.475   ,  75.800   ,   12.029
     zipper      , 99.920  , 99.960 ,    96.101     ,   97.750   ,     93.213     ,  98.705   , 50.573 ,   52.852   ,  95.461   ,   35.918
       Avg       , 86.096  , 92.949 ,    80.798     ,   77.616   ,     74.474     ,  97.047   , 24.006 ,   29.922   ,  87.866   ,   18.134
