      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 92.729  , 97.000 ,    71.339     ,   53.028   ,     65.753     ,  95.942   , 8.019  ,   13.323   ,  77.780   ,    7.137
   bottle_cap    , 96.814  , 98.761 ,    90.756     ,   90.863   ,     82.828     ,  99.238   , 28.302 ,   33.739   ,  95.986   ,   20.293
 button_battery  , 70.956  , 85.393 ,    75.529     ,   82.477   ,     79.781     ,  95.941   , 29.027 ,   34.652   ,  83.388   ,   20.957
     end_cap     , 75.240  , 85.281 ,    71.352     ,   73.218   ,     77.419     ,  92.122   , 8.390  ,   16.373   ,  79.523   ,    8.916
     eraser      , 80.689  , 92.391 ,    85.834     ,   86.864   ,     75.862     ,  98.953   , 28.719 ,   35.517   ,  93.589   ,   21.593
    fire_hood    , 81.240  , 91.305 ,    79.148     ,   75.614   ,     67.954     ,  98.359   , 21.104 ,   30.750   ,  85.564   ,   18.168
      mint       , 51.302  , 84.280 ,    64.366     ,   62.273   ,     66.441     ,  93.954   , 9.955  ,   18.662   ,  67.678   ,   10.292
     mounts      , 92.933  , 95.672 ,    84.034     ,   74.556   ,     71.613     ,  98.650   , 25.718 ,   33.332   ,  93.073   ,   19.999
       pcb       , 79.458  , 89.936 ,    74.187     ,   83.248   ,     77.344     ,  95.401   , 5.298  ,   10.069   ,  80.910   ,    5.301
  phone_battery  , 96.283  , 98.072 ,    86.024     ,   84.132   ,     76.087     ,  98.536   , 31.586 ,   37.848   ,  92.452   ,   23.341
   plastic_nut   , 88.360  , 94.892 ,    83.482     ,   74.968   ,     68.772     ,  98.882   , 30.492 ,   38.157   ,  94.071   ,   23.576
  plastic_plug   , 72.141  , 85.952 ,    75.802     ,   68.622   ,     65.714     ,  98.712   , 28.478 ,   34.640   ,  92.979   ,   20.949
 porcelain_doll  , 89.175  , 91.965 ,    85.211     ,   74.484   ,     72.157     ,  98.185   , 19.040 ,   25.851   ,  93.344   ,   14.844
    regulator    , 72.596  , 85.727 ,    54.840     ,   30.778   ,     42.748     ,  91.246   , 0.943  ,   1.810    ,  72.499   ,    0.913
rolled_strip_base, 99.796  , 99.908 ,    96.993     ,   98.712   ,     94.510     ,  99.225   , 19.298 ,   25.360   ,  97.635   ,   14.522
  sim_card_set   , 94.167  , 97.428 ,    92.166     ,   92.368   ,     85.488     ,  98.977   , 47.892 ,   48.032   ,  92.737   ,   31.607
     switch      , 95.384  , 97.673 ,    85.162     ,   87.258   ,     80.590     ,  92.535   , 24.577 ,   32.261   ,  85.812   ,   19.233
      tape       , 99.692  , 99.851 ,    95.430     ,   94.742   ,     89.139     ,  99.479   , 39.238 ,   44.860   ,  97.814   ,   28.916
  terminalblock  , 99.159  , 99.659 ,    90.456     ,   90.747   ,     87.290     ,  99.211   , 27.397 ,   33.221   ,  96.741   ,   19.919
   toothbrush    , 89.297  , 94.710 ,    81.070     ,   84.737   ,     77.619     ,  95.671   , 25.049 ,   31.237   ,  85.899   ,   18.509
       toy       , 77.417  , 88.850 ,    71.157     ,   78.250   ,     75.142     ,  92.779   , 7.048  ,   15.292   ,  79.899   ,    8.279
    toy_brick    , 65.875  , 78.547 ,    62.603     ,   57.793   ,     65.812     ,  95.820   , 10.057 ,   18.314   ,  81.134   ,   10.080
   transistor1   , 98.458  , 99.306 ,    96.651     ,   97.614   ,     91.841     ,  99.163   , 32.815 ,   35.281   ,  95.920   ,   21.419
     u_block     , 89.498  , 95.088 ,    81.293     ,   74.171   ,     65.201     ,  99.196   , 35.092 ,   42.305   ,  95.887   ,   26.827
       usb       , 78.105  , 85.587 ,    80.440     ,   76.614   ,     71.163     ,  97.906   , 22.549 ,   30.451   ,  90.096   ,   17.960
   usb_adaptor   , 87.721  , 94.900 ,    73.612     ,   68.260   ,     62.791     ,  97.479   , 13.519 ,   23.970   ,  86.650   ,   13.617
     vcpill      , 81.120  , 90.843 ,    77.619     ,   78.158   ,     67.575     ,  97.796   , 39.360 ,   45.314   ,  87.720   ,   29.294
  wooden_beads   , 83.291  , 93.407 ,    85.791     ,   84.589   ,     76.582     ,  97.383   , 28.369 ,   32.922   ,  87.325   ,   19.704
    woodstick    , 70.040  , 84.659 ,    74.268     ,   58.944   ,     60.317     ,  94.443   , 17.081 ,   24.324   ,  76.804   ,   13.846
     zipper      , 99.840  , 99.920 ,    96.478     ,   97.901   ,     93.424     ,  98.699   , 53.277 ,   53.261   ,  95.169   ,   36.296
       Avg       , 84.959  , 92.566 ,    80.770     ,   77.866   ,     74.499     ,  96.996   , 23.923 ,   30.038   ,  87.869   ,   18.210
