      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.507  , 98.114 ,    71.745     ,   54.044   ,     65.181     ,  95.950   , 6.599  ,   11.644   ,  78.242   ,    6.182
   bottle_cap    , 96.487  , 98.631 ,    91.062     ,   91.461   ,     83.934     ,  99.247   , 29.536 ,   33.479   ,  95.995   ,   20.105
 button_battery  , 68.464  , 83.302 ,    75.526     ,   82.667   ,     79.342     ,  95.928   , 28.078 ,   34.446   ,  83.591   ,   20.807
     end_cap     , 78.405  , 84.914 ,    70.213     ,   71.363   ,     76.459     ,  92.082   , 7.233  ,   14.837   ,  79.007   ,    8.013
     eraser      , 80.849  , 92.482 ,    87.697     ,   88.132   ,     76.875     ,  98.916   , 29.581 ,   35.844   ,  93.660   ,   21.835
    fire_hood    , 81.120  , 91.488 ,    79.765     ,   76.671   ,     69.291     ,  98.440   , 19.594 ,   29.849   ,  86.362   ,   17.543
      mint       , 54.470  , 86.152 ,    64.349     ,   63.891   ,     67.682     ,  93.978   , 12.422 ,   19.212   ,  67.996   ,   10.627
     mounts      , 93.913  , 96.466 ,    84.341     ,   73.977   ,     73.333     ,  98.663   , 25.103 ,   33.269   ,  93.055   ,   19.954
       pcb       , 84.708  , 91.596 ,    75.633     ,   82.748   ,     78.261     ,  95.254   , 5.192  ,   8.795    ,  80.860   ,    4.600
  phone_battery  , 96.569  , 98.245 ,    87.678     ,   85.513   ,     77.143     ,  98.484   , 31.287 ,   38.520   ,  92.393   ,   23.855
   plastic_nut   , 90.160  , 95.817 ,    84.250     ,   77.006   ,     68.526     ,  98.891   , 31.070 ,   39.829   ,  94.114   ,   24.867
  plastic_plug   , 69.812  , 85.824 ,    76.042     ,   70.508   ,     65.140     ,  98.731   , 29.900 ,   35.710   ,  92.903   ,   21.736
 porcelain_doll  , 88.971  , 91.324 ,    84.453     ,   73.017   ,     71.538     ,  98.102   , 18.535 ,   26.448   ,  93.114   ,   15.239
    regulator    , 72.075  , 85.427 ,    53.104     ,   31.234   ,     42.469     ,  91.598   , 1.204  ,   2.134    ,  73.423   ,    1.078
rolled_strip_base, 99.796  , 99.905 ,    96.585     ,   98.545   ,     94.400     ,  99.197   , 19.132 ,   26.332   ,  97.570   ,   15.163
  sim_card_set   , 93.292  , 96.470 ,    91.263     ,   91.455   ,     84.932     ,  98.917   , 50.247 ,   49.165   ,  92.414   ,   32.595
     switch      , 94.526  , 97.214 ,    84.330     ,   87.048   ,     78.500     ,  93.763   , 26.820 ,   34.120   ,  86.390   ,   20.569
      tape       , 99.654  , 99.832 ,    95.218     ,   94.708   ,     88.809     ,  99.450   , 39.051 ,   44.440   ,  97.660   ,   28.568
  terminalblock  , 99.079  , 99.628 ,    90.425     ,   91.213   ,     87.678     ,  99.221   , 30.276 ,   36.472   ,  96.771   ,   22.303
   toothbrush    , 86.846  , 92.869 ,    79.448     ,   82.738   ,     77.647     ,  95.653   , 25.073 ,   31.440   ,  85.659   ,   18.652
       toy       , 74.833  , 85.342 ,    71.358     ,   76.842   ,     75.050     ,  92.728   , 7.080  ,   14.253   ,  79.335   ,    7.673
    toy_brick    , 68.333  , 80.455 ,    62.374     ,   59.128   ,     65.839     ,  96.015   , 10.840 ,   19.170   ,  81.754   ,   10.601
   transistor1   , 97.375  , 98.907 ,    95.803     ,   96.953   ,     91.089     ,  99.140   , 33.844 ,   35.463   ,  95.660   ,   21.553
     u_block     , 92.177  , 96.556 ,    81.755     ,   76.026   ,     64.602     ,  99.289   , 36.829 ,   42.114   ,  96.219   ,   26.674
       usb       , 74.551  , 85.743 ,    81.343     ,   77.157   ,     72.236     ,  97.992   , 22.144 ,   31.486   ,  90.160   ,   18.685
   usb_adaptor   , 87.681  , 94.938 ,    73.788     ,   68.841   ,     62.774     ,  97.403   , 15.278 ,   25.933   ,  86.475   ,   14.898
     vcpill      , 84.960  , 92.734 ,    79.744     ,   78.811   ,     70.288     ,  97.992   , 39.116 ,   45.543   ,  88.726   ,   29.486
  wooden_beads   , 82.993  , 93.043 ,    86.032     ,   83.765   ,     75.556     ,  97.414   , 29.628 ,   34.773   ,  87.381   ,   21.046
    woodstick    , 73.760  , 86.985 ,    72.507     ,   59.238   ,     56.170     ,  94.406   , 16.610 ,   22.817   ,  76.452   ,   12.878
     zipper      , 99.920  , 99.960 ,    96.597     ,   98.010   ,     93.598     ,  98.698   , 53.643 ,   54.065   ,  95.321   ,   37.048
       Avg       , 85.376  , 92.679 ,    80.814     ,   78.090   ,     74.478     ,  97.051   , 24.365 ,   30.387   ,  87.955   ,   18.494
