      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.261  , 98.033 ,    73.996     ,   57.497   ,     65.889     ,  96.209   , 11.607 ,   16.955   ,  79.103   ,    9.263
   bottle_cap    , 97.304  , 98.936 ,    91.542     ,   91.734   ,     84.385     ,  99.219   , 32.032 ,   36.286   ,  95.893   ,   22.164
 button_battery  , 67.974  , 83.542 ,    74.156     ,   81.261   ,     79.487     ,  95.728   , 29.237 ,   36.299   ,  82.625   ,   22.174
     end_cap     , 75.521  , 81.427 ,    68.788     ,   69.882   ,     75.978     ,  92.341   , 6.349  ,   14.469   ,  80.095   ,    7.799
     eraser      , 88.061  , 94.869 ,    88.450     ,   88.100   ,     79.874     ,  98.840   , 28.211 ,   34.120   ,  93.097   ,   20.569
    fire_hood    , 80.840  , 91.289 ,    80.140     ,   77.608   ,     67.148     ,  98.511   , 25.844 ,   34.268   ,  87.000   ,   20.677
      mint       , 63.976  , 89.950 ,    64.041     ,   63.907   ,     65.590     ,  93.548   , 10.829 ,   18.828   ,  66.582   ,   10.392
     mounts      , 94.649  , 96.937 ,    82.266     ,   69.441   ,     71.045     ,  98.661   , 25.487 ,   31.140   ,  94.148   ,   18.441
       pcb       , 81.375  , 89.873 ,    76.459     ,   83.556   ,     78.143     ,  95.609   , 5.192  ,   10.133   ,  81.182   ,    5.337
  phone_battery  , 98.570  , 99.329 ,    86.050     ,   81.644   ,     77.151     ,  98.499   , 27.422 ,   34.833   ,  92.860   ,   21.090
   plastic_nut   , 93.840  , 97.103 ,    86.557     ,   77.677   ,     73.251     ,  98.979   , 32.140 ,   39.592   ,  94.451   ,   24.682
  plastic_plug   , 79.984  , 91.055 ,    77.891     ,   72.753   ,     64.553     ,  98.685   , 30.602 ,   36.213   ,  93.323   ,   22.110
 porcelain_doll  , 90.074  , 92.434 ,    83.370     ,   72.319   ,     71.713     ,  97.909   , 16.799 ,   26.128   ,  92.257   ,   15.027
    regulator    , 74.439  , 87.092 ,    54.880     ,   30.580   ,     41.648     ,  91.273   , 1.290  ,   3.478    ,  72.214   ,    1.770
rolled_strip_base, 99.673  , 99.849 ,    97.542     ,   98.968   ,     95.635     ,  99.356   , 22.461 ,   28.291   ,  98.122   ,   16.476
  sim_card_set   , 93.375  , 96.693 ,    91.217     ,   91.639   ,     83.465     ,  98.844   , 49.132 ,   49.858   ,  92.127   ,   33.208
     switch      , 96.487  , 98.340 ,    85.946     ,   88.290   ,     80.449     ,  93.372   , 27.850 ,   34.910   ,  86.179   ,   21.146
      tape       , 99.962  , 99.982 ,    95.317     ,   94.798   ,     90.037     ,  99.477   , 40.013 ,   44.752   ,  97.798   ,   28.826
  terminalblock  , 99.880  , 99.948 ,    91.961     ,   92.639   ,     88.416     ,  99.413   , 32.743 ,   37.297   ,  97.389   ,   22.923
   toothbrush    , 93.464  , 97.187 ,    80.397     ,   83.226   ,     78.337     ,  95.747   , 23.020 ,   30.858   ,  86.130   ,   18.244
       toy       , 75.042  , 84.999 ,    70.552     ,   76.970   ,     74.286     ,  91.617   , 6.056  ,   13.379   ,  77.546   ,    7.169
    toy_brick    , 73.208  , 82.446 ,    65.679     ,   62.409   ,     66.517     ,  96.582   , 10.922 ,   20.099   ,  84.957   ,   11.172
   transistor1   , 99.250  , 99.669 ,    97.066     ,   97.599   ,     91.981     ,  99.191   , 34.868 ,   37.925   ,  96.102   ,   23.400
     u_block     , 93.452  , 96.975 ,    82.306     ,   76.815   ,     67.265     ,  99.197   , 38.571 ,   45.797   ,  95.683   ,   29.699
       usb       , 79.779  , 87.625 ,    79.561     ,   76.872   ,     69.779     ,  98.048   , 25.843 ,   35.409   ,  90.255   ,   21.514
   usb_adaptor   , 93.116  , 96.892 ,    77.150     ,   72.134   ,     64.894     ,  97.648   , 15.284 ,   26.535   ,  87.443   ,   15.297
     vcpill      , 78.640  , 89.934 ,    78.824     ,   79.435   ,     68.927     ,  97.934   , 39.091 ,   44.835   ,  88.594   ,   28.895
  wooden_beads   , 81.675  , 92.530 ,    86.578     ,   84.496   ,     77.987     ,  97.139   , 26.923 ,   33.009   ,  86.803   ,   19.767
    woodstick    , 76.520  , 88.066 ,    77.885     ,   66.659   ,     62.136     ,  95.145   , 22.876 ,   30.646   ,  79.340   ,   18.096
     zipper      , 100.000 ,100.000 ,    96.870     ,   98.160   ,     93.778     ,  98.592   , 50.659 ,   52.903   ,  95.185   ,   35.964
       Avg       , 87.180  , 93.433 ,    81.448     ,   78.636   ,     74.991     ,  97.044   , 24.978 ,   31.308   ,  88.150   ,   19.110
