      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.833  , 98.184 ,    75.268     ,   62.765   ,     67.836     ,  96.256   , 14.478 ,   22.308   ,  79.080   ,   12.554
   bottle_cap    , 99.265  , 99.697 ,    90.723     ,   91.089   ,     83.784     ,  99.142   , 32.825 ,   35.691   ,  95.458   ,   21.722
 button_battery  , 70.997  , 86.407 ,    69.790     ,   79.231   ,     78.986     ,  95.403   , 28.221 ,   34.001   ,  80.867   ,   20.482
     end_cap     , 73.638  , 78.684 ,    69.223     ,   69.676   ,     75.182     ,  92.461   , 5.880  ,   14.233   ,  80.441   ,    7.662
     eraser      , 89.423  , 95.431 ,    89.237     ,   88.790   ,     80.466     ,  98.734   , 29.524 ,   35.832   ,  92.336   ,   21.826
    fire_hood    , 83.080  , 92.301 ,    79.712     ,   77.671   ,     68.936     ,  98.469   , 27.680 ,   34.517   ,  86.566   ,   20.858
      mint       , 67.491  , 91.943 ,    67.005     ,   69.440   ,     66.782     ,  93.985   , 13.382 ,   25.367   ,  67.301   ,   14.526
     mounts      , 94.485  , 97.016 ,    82.591     ,   72.896   ,     69.670     ,  98.594   , 28.200 ,   33.587   ,  92.939   ,   20.183
       pcb       , 79.208  , 87.419 ,    76.030     ,   82.547   ,     77.559     ,  95.529   , 6.784  ,   11.621   ,  80.558   ,    6.169
  phone_battery  , 97.998  , 98.964 ,    85.738     ,   81.619   ,     76.550     ,  98.541   , 27.637 ,   32.410   ,  93.922   ,   19.339
   plastic_nut   , 98.880  , 99.450 ,    89.185     ,   83.032   ,     74.477     ,  98.982   , 34.253 ,   41.029   ,  94.434   ,   25.809
  plastic_plug   , 79.739  , 90.733 ,    77.436     ,   72.736   ,     65.565     ,  98.612   , 31.819 ,   37.437   ,  93.033   ,   23.029
 porcelain_doll  , 79.493  , 88.131 ,    76.880     ,   63.182   ,     61.850     ,  97.392   , 11.573 ,   20.352   ,  90.426   ,   11.329
    regulator    , 72.436  , 86.221 ,    55.171     ,   30.320   ,     42.365     ,  89.851   , 1.363  ,   2.318    ,  68.046   ,    1.173
rolled_strip_base, 99.673  , 99.859 ,    97.016     ,   98.743   ,     93.798     ,  99.346   , 24.131 ,   31.639   ,  98.073   ,   18.792
  sim_card_set   , 90.167  , 94.928 ,    92.099     ,   92.678   ,     84.514     ,  98.886   , 49.827 ,   49.649   ,  92.159   ,   33.022
     switch      , 92.892  , 96.259 ,    85.501     ,   88.127   ,     78.697     ,  93.777   , 28.949 ,   36.573   ,  85.754   ,   22.379
      tape       , 99.462  , 99.754 ,    93.711     ,   93.546   ,     87.365     ,  99.414   , 35.282 ,   42.341   ,  97.556   ,   26.856
  terminalblock  , 99.679  , 99.859 ,    91.153     ,   92.807   ,     86.525     ,  99.425   , 34.066 ,   39.083   ,  97.394   ,   24.288
   toothbrush    , 93.178  , 96.433 ,    82.120     ,   85.265   ,     78.935     ,  95.582   , 25.559 ,   32.854   ,  85.401   ,   19.656
       toy       , 80.917  , 89.671 ,    72.325     ,   79.923   ,     75.769     ,  92.143   , 9.277  ,   15.203   ,  78.218   ,    8.227
    toy_brick    , 70.875  , 84.411 ,    61.532     ,   57.095   ,     66.387     ,  96.121   , 8.617  ,   15.662   ,  82.967   ,    8.496
   transistor1   , 97.000  , 98.513 ,    95.581     ,   96.085   ,     91.549     ,  98.966   , 30.800 ,   33.580   ,  94.993   ,   20.178
     u_block     , 97.066  , 98.484 ,    84.976     ,   80.167   ,     69.903     ,  99.136   , 37.021 ,   44.821   ,  95.333   ,   28.883
       usb       , 82.598  , 89.450 ,    81.366     ,   79.311   ,     71.137     ,  98.190   , 26.800 ,   36.527   ,  90.386   ,   22.344
   usb_adaptor   , 93.116  , 97.204 ,    79.872     ,   75.150   ,     68.406     ,  97.692   , 18.538 ,   28.911   ,  87.248   ,   16.898
     vcpill      , 76.920  , 86.369 ,    78.328     ,   77.463   ,     67.826     ,  97.842   , 34.853 ,   44.345   ,  88.223   ,   28.490
  wooden_beads   , 88.350  , 95.865 ,    84.793     ,   84.449   ,     75.346     ,  97.297   , 27.243 ,   34.860   ,  86.480   ,   21.109
    woodstick    , 71.720  , 86.340 ,    75.007     ,   64.809   ,     56.557     ,  94.702   , 19.180 ,   28.941   ,  78.627   ,   16.919
     zipper      , 100.000 ,100.000 ,    97.253     ,   98.338   ,     94.092     ,  98.440   , 49.479 ,   51.785   ,  94.501   ,   34.939
       Avg       , 87.186  , 93.466 ,    81.221     ,   78.965   ,     74.560     ,  96.964   , 25.108 ,   31.583   ,  87.624   ,   19.271
