      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.466  , 98.119 ,    73.821     ,   59.066   ,     65.426     ,  96.194   , 11.970 ,   16.921   ,  78.874   ,    9.243
   bottle_cap    , 96.855  , 98.817 ,    91.281     ,   91.538   ,     83.448     ,  99.211   , 31.918 ,   36.015   ,  95.923   ,   21.962
 button_battery  , 72.549  , 86.113 ,    73.757     ,   80.943   ,     80.151     ,  95.754   , 28.854 ,   35.242   ,  82.558   ,   21.390
     end_cap     , 74.720  , 80.813 ,    69.401     ,   70.569   ,     76.083     ,  92.257   , 6.482  ,   14.814   ,  79.750   ,    7.999
     eraser      , 90.865  , 96.044 ,    89.220     ,   89.324   ,     82.675     ,  98.900   , 29.778 ,   35.423   ,  93.400   ,   21.524
    fire_hood    , 82.080  , 91.751 ,    80.866     ,   78.313   ,     68.868     ,  98.461   , 22.789 ,   32.723   ,  86.622   ,   19.562
      mint       , 64.453  , 90.276 ,    64.867     ,   65.429   ,     65.922     ,  93.924   , 11.670 ,   20.885   ,  67.648   ,   11.660
     mounts      , 94.158  , 96.673 ,    83.594     ,   72.821   ,     71.591     ,  98.650   , 27.499 ,   33.099   ,  94.011   ,   19.831
       pcb       , 83.417  , 88.155 ,    77.208     ,   82.986   ,     79.104     ,  95.803   , 6.226  ,   11.757   ,  81.659   ,    6.246
  phone_battery  , 97.181  , 98.536 ,    86.260     ,   83.944   ,     75.556     ,  98.528   , 29.520 ,   36.125   ,  92.923   ,   22.044
   plastic_nut   , 93.520  , 97.065 ,    85.741     ,   75.979   ,     70.588     ,  98.882   , 30.489 ,   37.900   ,  94.062   ,   23.381
  plastic_plug   , 73.693  , 87.410 ,    75.853     ,   67.887   ,     65.482     ,  98.705   , 30.006 ,   34.965   ,  93.346   ,   21.187
 porcelain_doll  , 90.768  , 92.616 ,    83.829     ,   73.139   ,     71.756     ,  97.917   , 16.367 ,   25.712   ,  92.199   ,   14.752
    regulator    , 74.679  , 85.092 ,    56.433     ,   31.352   ,     42.247     ,  91.557   , 1.221  ,   2.382    ,  72.891   ,    1.205
rolled_strip_base, 99.959  , 99.981 ,    97.510     ,   98.940   ,     95.069     ,  99.354   , 22.600 ,   28.592   ,  98.132   ,   16.681
  sim_card_set   , 91.625  , 95.794 ,    89.858     ,   90.108   ,     83.110     ,  98.881   , 47.921 ,   47.523   ,  91.973   ,   31.167
     switch      , 95.057  , 97.529 ,    85.547     ,   87.702   ,     79.727     ,  93.767   , 29.973 ,   36.465   ,  86.626   ,   22.298
      tape       , 99.500  , 99.776 ,    95.546     ,   94.951   ,     88.971     ,  99.486   , 39.521 ,   44.381   ,  97.868   ,   28.519
  terminalblock  , 99.760  , 99.895 ,    91.097     ,   91.961   ,     87.179     ,  99.353   , 32.388 ,   37.524   ,  97.234   ,   23.095
   toothbrush    , 93.954  , 97.419 ,    81.358     ,   84.285   ,     79.263     ,  95.663   , 23.847 ,   31.224   ,  85.967   ,   18.500
       toy       , 79.083  , 88.731 ,    70.372     ,   77.593   ,     74.298     ,  91.296   , 6.005  ,   13.675   ,  76.768   ,    7.339
    toy_brick    , 68.417  , 78.708 ,    63.655     ,   58.764   ,     66.667     ,  96.384   , 8.771  ,   18.853   ,  84.175   ,   10.408
   transistor1   , 98.833  , 99.498 ,    96.758     ,   97.525   ,     91.509     ,  99.141   , 35.371 ,   36.942   ,  95.798   ,   22.655
     u_block     , 94.473  , 97.226 ,    82.922     ,   77.490   ,     69.604     ,  99.228   , 38.071 ,   45.986   ,  95.949   ,   29.858
       usb       , 79.453  , 85.666 ,    82.431     ,   78.729   ,     71.916     ,  98.160   , 26.622 ,   36.620   ,  90.582   ,   22.414
   usb_adaptor   , 91.546  , 96.439 ,    75.060     ,   70.375   ,     63.444     ,  97.519   , 14.228 ,   26.685   ,  87.061   ,   15.397
     vcpill      , 81.560  , 90.689 ,    79.965     ,   80.717   ,     70.154     ,  97.873   , 39.395 ,   45.736   ,  88.574   ,   29.648
  wooden_beads   , 82.228  , 92.747 ,    85.947     ,   84.008   ,     76.829     ,  97.134   , 27.185 ,   33.176   ,  86.537   ,   19.887
    woodstick    , 74.240  , 87.073 ,    76.588     ,   64.762   ,     59.414     ,  95.081   , 22.667 ,   28.631   ,  79.979   ,   16.708
     zipper      , 100.000 ,100.000 ,    97.134     ,   98.331   ,     94.040     ,  98.642   , 52.367 ,   54.611   ,  95.321   ,   37.562
       Avg       , 87.136  , 93.155 ,    81.463     ,   78.651   ,     75.003     ,  97.057   , 25.057 ,   31.353   ,  88.147   ,   19.137
