      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 89.502  , 95.524 ,    72.210     ,   61.621   ,     61.765     ,  95.904   , 14.463 ,   22.228   ,  76.254   ,   12.503
   bottle_cap    , 96.569  , 98.608 ,    89.704     ,   90.432   ,     82.508     ,  99.109   , 32.919 ,   36.340   ,  95.529   ,   22.205
 button_battery  , 77.247  , 89.792 ,    75.406     ,   82.970   ,     81.455     ,  95.316   , 31.794 ,   36.819   ,  81.951   ,   22.563
     end_cap     , 66.426  , 78.955 ,    64.440     ,   67.040   ,     75.949     ,  90.786   , 6.790  ,   14.785   ,  76.258   ,    7.983
     eraser      , 88.462  , 95.266 ,    89.501     ,   89.303   ,     81.791     ,  98.731   , 31.605 ,   38.868   ,  92.510   ,   24.122
    fire_hood    , 81.960  , 91.896 ,    80.243     ,   77.830   ,     69.261     ,  98.399   , 25.418 ,   32.057   ,  86.458   ,   19.088
      mint       , 64.583  , 90.939 ,    66.763     ,   69.072   ,     66.548     ,  93.585   , 14.747 ,   26.206   ,  66.589   ,   15.079
     mounts      , 93.260  , 96.247 ,    81.167     ,   69.389   ,     68.293     ,  98.045   , 25.787 ,   31.956   ,  92.084   ,   19.017
       pcb       , 76.042  , 86.319 ,    71.814     ,   80.649   ,     76.109     ,  94.155   , 5.692  ,   9.904    ,  77.684   ,    5.210
  phone_battery  , 96.977  , 98.634 ,    82.841     ,   79.253   ,     73.481     ,  98.210   , 29.335 ,   34.941   ,  91.322   ,   21.168
   plastic_nut   , 97.400  , 98.891 ,    87.209     ,   78.197   ,     72.656     ,  98.794   , 32.036 ,   40.366   ,  93.709   ,   25.286
  plastic_plug   , 79.943  , 91.262 ,    81.568     ,   76.398   ,     67.733     ,  98.764   , 34.672 ,   41.330   ,  93.470   ,   26.048
 porcelain_doll  , 88.358  , 93.388 ,    83.286     ,   70.268   ,     68.794     ,  97.640   , 14.664 ,   23.228   ,  91.130   ,   13.140
    regulator    , 75.561  , 87.390 ,    51.831     ,   28.748   ,     41.423     ,  89.355   , 1.329  ,   2.444    ,  67.076   ,    1.237
rolled_strip_base, 99.837  , 99.925 ,    96.667     ,   98.625   ,     93.933     ,  99.355   , 24.215 ,   32.116   ,  98.102   ,   19.130
  sim_card_set   , 89.708  , 95.063 ,    89.341     ,   91.092   ,     82.292     ,  98.926   , 51.254 ,   51.414   ,  92.573   ,   34.602
     switch      , 90.155  , 95.854 ,    78.724     ,   82.232   ,     75.388     ,  90.614   , 18.110 ,   25.413   ,  82.565   ,   14.556
      tape       , 98.500  , 99.224 ,    93.042     ,   92.947   ,     87.547     ,  99.308   , 35.844 ,   42.906   ,  97.123   ,   27.312
  terminalblock  , 99.559  , 99.805 ,    88.513     ,   90.598   ,     84.235     ,  98.990   , 30.248 ,   36.742   ,  96.318   ,   22.505
   toothbrush    , 89.747  , 94.824 ,    78.597     ,   82.461   ,     76.533     ,  95.148   , 23.028 ,   30.379   ,  84.635   ,   17.910
       toy       , 72.750  , 85.764 ,    65.325     ,   72.898   ,     73.830     ,  88.680   , 5.253  ,   10.452   ,  73.027   ,    5.514
    toy_brick    , 67.667  , 76.599 ,    65.878     ,   60.391   ,     66.940     ,  96.801   , 12.496 ,   20.525   ,  86.206   ,   11.436
   transistor1   , 97.542  , 98.752 ,    94.867     ,   95.785   ,     89.671     ,  98.939   , 33.352 ,   34.954   ,  95.152   ,   21.178
     u_block     , 91.624  , 96.159 ,    80.503     ,   75.643   ,     66.667     ,  99.022   , 35.922 ,   42.588   ,  94.993   ,   27.055
       usb       , 78.554  , 84.814 ,    73.576     ,   67.483   ,     67.397     ,  97.225   , 16.292 ,   25.704   ,  86.354   ,   14.747
   usb_adaptor   , 86.393  , 94.527 ,    73.443     ,   67.300   ,     61.500     ,  97.225   , 13.748 ,   24.803   ,  86.475   ,   14.157
     vcpill      , 73.000  , 86.962 ,    76.331     ,   76.150   ,     66.111     ,  97.627   , 36.111 ,   43.475   ,  87.625   ,   27.775
  wooden_beads   , 81.335  , 92.429 ,    86.880     ,   84.403   ,     78.333     ,  96.874   , 27.492 ,   32.830   ,  86.173   ,   19.639
    woodstick    , 71.440  , 85.989 ,    76.980     ,   65.261   ,     59.459     ,  94.875   , 24.024 ,   31.692   ,  80.526   ,   18.830
     zipper      , 99.920  , 99.960 ,    96.344     ,   97.944   ,     93.682     ,  98.499   , 50.077 ,   53.347   ,  94.888   ,   36.376
       Avg       , 85.334  , 92.659 ,    79.766     ,   77.413   ,     73.710     ,  96.497   , 24.624 ,   31.027   ,  86.825   ,   18.912
