      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 96.936  , 98.705 ,    75.203     ,   60.025   ,     67.246     ,  96.444   , 15.863 ,   23.707   ,  79.733   ,   13.448
   bottle_cap    , 99.142  , 99.600 ,    89.809     ,   89.727   ,     81.346     ,  99.144   , 32.161 ,   34.750   ,  95.459   ,   21.029
 button_battery  , 70.466  , 84.233 ,    69.865     ,   78.659   ,     78.369     ,  95.194   , 26.823 ,   32.588   ,  80.372   ,   19.465
     end_cap     , 77.204  , 84.212 ,    70.281     ,   71.087   ,     75.862     ,  92.964   , 6.292  ,   14.891   ,  81.631   ,    8.044
     eraser      , 91.867  , 96.198 ,    89.786     ,   88.559   ,     80.912     ,  98.630   , 29.432 ,   35.997   ,  92.111   ,   21.949
    fire_hood    , 85.240  , 93.360 ,    80.819     ,   77.388   ,     67.532     ,  98.450   , 28.799 ,   37.191   ,  86.497   ,   22.843
      mint       , 71.832  , 92.788 ,    64.217     ,   66.240   ,     65.023     ,  93.825   , 9.916  ,   21.390   ,  66.181   ,   11.976
     mounts      , 94.608  , 97.079 ,    80.625     ,   69.393   ,     66.667     ,  98.620   , 27.993 ,   32.780   ,  93.623   ,   19.603
       pcb       , 82.250  , 89.495 ,    79.146     ,   85.228   ,     79.108     ,  96.423   , 11.550 ,   18.585   ,  83.005   ,   10.245
  phone_battery  , 98.407  , 99.262 ,    87.887     ,   85.246   ,     77.612     ,  98.446   , 30.392 ,   35.966   ,  93.466   ,   21.926
   plastic_nut   , 98.880  , 99.401 ,    89.163     ,   82.367   ,     75.294     ,  99.021   , 34.467 ,   40.422   ,  94.737   ,   25.331
  plastic_plug   , 78.186  , 91.021 ,    81.172     ,   78.614   ,     68.462     ,  98.606   , 33.080 ,   39.046   ,  92.888   ,   24.259
 porcelain_doll  , 84.845  , 91.390 ,    75.800     ,   63.972   ,     59.672     ,  97.293   , 12.125 ,   19.703   ,  89.972   ,   10.928
    regulator    , 72.716  , 86.288 ,    54.700     ,   27.255   ,     44.079     ,  91.450   , 0.607  ,   1.888    ,  72.048   ,    0.953
rolled_strip_base, 99.837  , 99.926 ,    96.608     ,   98.541   ,     93.359     ,  99.425   , 26.325 ,   32.960   ,  98.342   ,   19.732
  sim_card_set   , 94.167  , 97.014 ,    90.258     ,   91.843   ,     83.196     ,  98.785   , 52.474 ,   53.606   ,  92.072   ,   36.618
     switch      , 94.649  , 97.213 ,    86.735     ,   89.535   ,     80.206     ,  95.437   , 36.440 ,   43.229   ,  87.231   ,   27.575
      tape       , 98.423  , 99.208 ,    94.343     ,   93.499   ,     87.018     ,  99.484   , 33.414 ,   39.934   ,  97.951   ,   24.948
  terminalblock  , 99.359  , 99.719 ,    90.141     ,   91.966   ,     85.646     ,  99.421   , 33.629 ,   39.709   ,  97.172   ,   24.773
   toothbrush    , 96.119  , 98.292 ,    82.988     ,   84.395   ,     80.995     ,  95.769   , 23.628 ,   32.083   ,  86.018   ,   19.107
       toy       , 78.083  , 87.835 ,    72.768     ,   79.497   ,     75.464     ,  92.536   , 8.122  ,   13.764   ,  78.793   ,    7.391
    toy_brick    , 75.333  , 86.576 ,    70.226     ,   68.502   ,     67.364     ,  97.151   , 20.246 ,   30.668   ,  86.840   ,   18.111
   transistor1   , 98.000  , 98.907 ,    95.827     ,   96.076   ,     92.449     ,  99.026   , 31.307 ,   34.772   ,  95.231   ,   21.045
     u_block     , 95.791  , 97.973 ,    82.041     ,   75.520   ,     65.399     ,  99.038   , 33.061 ,   40.957   ,  94.917   ,   25.752
       usb       , 84.886  , 91.218 ,    83.803     ,   82.480   ,     72.843     ,  98.682   , 29.857 ,   41.552   ,  92.512   ,   26.225
   usb_adaptor   , 94.042  , 97.779 ,    78.957     ,   76.584   ,     68.439     ,  97.554   , 23.240 ,   29.923   ,  87.061   ,   17.594
     vcpill      , 71.520  , 86.238 ,    76.081     ,   76.602   ,     66.032     ,  97.900   , 38.620 ,   45.194   ,  88.325   ,   29.194
  wooden_beads   , 89.881  , 95.895 ,    86.449     ,   84.515   ,     76.762     ,  96.902   , 26.368 ,   33.721   ,  85.030   ,   20.280
    woodstick    , 75.080  , 88.319 ,    77.369     ,   67.898   ,     60.000     ,  95.293   , 27.090 ,   32.498   ,  81.084   ,   19.401
     zipper      , 100.000 ,100.000 ,    97.612     ,   98.548   ,     94.218     ,  98.409   , 46.521 ,   51.204   ,  94.636   ,   34.412
       Avg       , 88.258  , 94.172 ,    81.689     ,   79.325   ,     74.552     ,  97.177   , 26.328 ,   32.823   ,  88.165   ,   20.139
