      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 90.564  , 95.893 ,    68.422     ,   47.175   ,     63.402     ,  94.940   , 2.183  ,   5.622    ,  75.350   ,    2.892
   bottle_cap    , 94.118  , 97.448 ,    88.672     ,   87.539   ,     79.133     ,  99.188   , 24.581 ,   31.179   ,  95.858   ,   18.469
 button_battery  , 67.770  , 83.159 ,    71.895     ,   78.697   ,     79.636     ,  95.340   , 19.607 ,   27.097   ,  82.127   ,   15.672
     end_cap     , 73.197  , 84.127 ,    71.081     ,   74.330   ,     75.581     ,  91.540   , 7.157  ,   14.354   ,  77.823   ,    7.732
     eraser      , 81.130  , 92.153 ,    82.784     ,   84.188   ,     72.857     ,  98.791   , 25.419 ,   31.301   ,  92.918   ,   18.554
    fire_hood    , 83.400  , 92.537 ,    79.658     ,   77.181   ,     70.000     ,  98.264   , 17.274 ,   24.832   ,  85.077   ,   14.176
      mint       , 49.653  , 84.635 ,    60.256     ,   57.239   ,     65.195     ,  93.041   , 3.577  ,   9.386    ,  66.533   ,    4.924
     mounts      , 92.075  , 95.145 ,    84.638     ,   73.807   ,     72.515     ,  98.399   , 22.062 ,   30.349   ,  91.637   ,   17.889
       pcb       , 82.667  , 91.400 ,    73.661     ,   82.493   ,     76.870     ,  94.331   , 2.730  ,   6.059    ,  78.688   ,    3.124
  phone_battery  , 93.137  , 96.120 ,    85.948     ,   84.056   ,     75.529     ,  98.419   , 26.435 ,   35.013   ,  91.588   ,   21.221
   plastic_nut   , 84.960  , 92.723 ,    82.158     ,   72.602   ,     65.900     ,  98.650   , 25.734 ,   31.960   ,  92.537   ,   19.019
  plastic_plug   , 80.801  , 91.235 ,    76.228     ,   68.706   ,     64.162     ,  98.776   , 21.992 ,   29.682   ,  93.315   ,   17.427
 porcelain_doll  , 85.580  , 87.741 ,    83.624     ,   69.789   ,     69.636     ,  98.179   , 15.388 ,   24.405   ,  93.464   ,   13.898
    regulator    , 71.074  , 85.817 ,    49.017     ,   25.637   ,     41.872     ,  91.349   , 0.350  ,   1.348    ,  73.106   ,    0.678
rolled_strip_base, 99.755  , 99.884 ,    97.160     ,   98.752   ,     94.518     ,  99.257   , 19.364 ,   27.065   ,  97.746   ,   15.650
  sim_card_set   , 95.458  , 97.769 ,    92.958     ,   93.639   ,     85.789     ,  98.894   , 48.851 ,   48.600   ,  92.232   ,   32.100
     switch      , 92.974  , 96.685 ,    81.103     ,   83.491   ,     78.095     ,  91.044   , 17.491 ,   25.723   ,  84.459   ,   14.760
      tape       , 96.654  , 98.497 ,    93.355     ,   93.232   ,     86.643     ,  99.417   , 38.461 ,   45.341   ,  97.576   ,   29.317
  terminalblock  , 97.997  , 99.253 ,    89.160     ,   88.815   ,     85.450     ,  99.028   , 23.468 ,   28.744   ,  96.221   ,   16.784
   toothbrush    , 86.152  , 92.632 ,    75.992     ,   80.127   ,     75.494     ,  94.865   , 18.089 ,   24.695   ,  83.492   ,   14.087
       toy       , 79.250  , 87.689 ,    72.011     ,   77.388   ,     75.573     ,  92.595   , 8.198  ,   16.003   ,  79.590   ,    8.697
    toy_brick    , 66.500  , 78.324 ,    61.702     ,   56.211   ,     65.298     ,  95.134   , 8.276  ,   16.767   ,  79.573   ,    9.151
   transistor1   , 97.333  , 98.634 ,    94.499     ,   95.800   ,     89.952     ,  98.967   , 28.766 ,   32.498   ,  95.242   ,   19.401
     u_block     , 83.759  , 91.622 ,    79.697     ,   70.951   ,     64.368     ,  99.183   , 26.936 ,   31.647   ,  96.000   ,   18.798
       usb       , 80.147  , 89.293 ,    77.631     ,   73.342   ,     70.000     ,  97.148   , 13.910 ,   24.183   ,  87.499   ,   13.755
   usb_adaptor   , 83.253  , 92.621 ,    71.180     ,   63.591   ,     60.520     ,  96.855   , 10.935 ,   20.530   ,  83.408   ,   11.439
     vcpill      , 83.080  , 91.833 ,    75.591     ,   75.538   ,     65.476     ,  97.311   , 27.191 ,   35.500   ,  86.157   ,   21.581
  wooden_beads   , 77.806  , 90.171 ,    85.585     ,   82.919   ,     75.862     ,  97.009   , 24.704 ,   32.170   ,  86.464   ,   19.169
    woodstick    , 78.320  , 88.043 ,    75.038     ,   61.125   ,     57.944     ,  94.331   , 14.054 ,   19.569   ,  77.044   ,   10.846
     zipper      , 99.920  , 99.960 ,    96.817     ,   98.175   ,     93.126     ,  98.817   , 53.395 ,   53.722   ,  95.638   ,   36.726
       Avg       , 84.283  , 92.101 ,    79.251     ,   75.885   ,     73.213     ,  96.635   , 19.886 ,   26.178   ,  86.945   ,   15.598
