      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.997  , 98.267 ,    72.097     ,   53.471   ,     66.871     ,  95.942   , 7.479  ,   12.848   ,  78.599   ,    6.865
   bottle_cap    , 96.691  , 98.652 ,    90.741     ,   90.605   ,     80.851     ,  99.238   , 30.203 ,   34.337   ,  95.943   ,   20.727
 button_battery  , 73.611  , 86.552 ,    73.883     ,   81.470   ,     79.204     ,  95.850   , 24.825 ,   30.853   ,  83.335   ,   18.240
     end_cap     , 75.681  , 83.210 ,    70.275     ,   70.905   ,     77.647     ,  92.294   , 7.353  ,   14.844   ,  79.708   ,    8.017
     eraser      , 80.689  , 91.825 ,    85.947     ,   86.165   ,     76.972     ,  98.821   , 28.170 ,   33.551   ,  93.057   ,   20.157
    fire_hood    , 81.440  , 91.805 ,    79.389     ,   75.839   ,     67.742     ,  98.308   , 18.399 ,   28.106   ,  85.111   ,   16.351
      mint       , 42.925  , 82.145 ,    63.801     ,   61.521   ,     65.854     ,  93.910   , 10.216 ,   17.666   ,  67.250   ,    9.689
     mounts      , 91.789  , 94.340 ,    84.889     ,   74.381   ,     73.171     ,  98.714   , 26.445 ,   34.200   ,  92.657   ,   20.627
       pcb       , 84.000  , 91.747 ,    77.819     ,   84.792   ,     78.937     ,  95.725   , 4.517  ,   9.158    ,  81.781   ,    4.799
  phone_battery  , 97.835  , 98.930 ,    86.819     ,   82.921   ,     76.620     ,  98.525   , 28.041 ,   35.860   ,  92.820   ,   21.847
   plastic_nut   , 92.640  , 96.621 ,    85.233     ,   77.093   ,     71.062     ,  98.830   , 30.649 ,   37.687   ,  93.938   ,   23.219
  plastic_plug   , 71.446  , 84.697 ,    76.972     ,   68.491   ,     65.330     ,  98.684   , 25.551 ,   31.769   ,  93.156   ,   18.884
 porcelain_doll  , 89.052  , 91.692 ,    84.828     ,   73.118   ,     72.941     ,  98.256   , 17.947 ,   24.701   ,  93.550   ,   14.091
    regulator    , 69.872  , 84.058 ,    53.363     ,   30.289   ,     42.105     ,  92.206   , 1.134  ,   1.730    ,  74.954   ,    0.873
rolled_strip_base, 99.837  , 99.925 ,    97.850     ,   99.063   ,     95.736     ,  99.273   , 19.937 ,   26.418   ,  97.792   ,   15.219
  sim_card_set   , 92.792  , 96.649 ,    92.055     ,   92.770   ,     84.131     ,  98.898   , 49.551 ,   50.040   ,  92.304   ,   33.369
     switch      , 95.180  , 97.784 ,    86.140     ,   88.571   ,     81.068     ,  94.235   , 30.074 ,   37.196   ,  86.959   ,   22.847
      tape       , 99.654  , 99.843 ,    95.331     ,   94.697   ,     89.130     ,  99.512   , 38.783 ,   44.191   ,  97.962   ,   28.363
  terminalblock  , 99.119  , 99.663 ,    91.323     ,   91.397   ,     88.783     ,  99.296   , 27.749 ,   34.277   ,  97.118   ,   20.683
   toothbrush    , 88.889  , 94.305 ,    81.358     ,   84.826   ,     77.880     ,  95.847   , 25.124 ,   32.557   ,  85.990   ,   19.443
       toy       , 78.875  , 89.456 ,    72.145     ,   78.384   ,     75.930     ,  92.920   , 9.809  ,   17.772   ,  79.954   ,    9.753
    toy_brick    , 66.708  , 79.543 ,    61.538     ,   57.841   ,     65.600     ,  95.567   , 8.609  ,   17.730   ,  80.316   ,    9.727
   transistor1   , 98.417  , 99.294 ,    96.052     ,   97.153   ,     91.892     ,  99.193   , 33.644 ,   36.942   ,  95.926   ,   22.656
     u_block     , 92.007  , 96.172 ,    82.782     ,   77.091   ,     68.398     ,  99.230   , 35.292 ,   41.166   ,  95.968   ,   25.918
       usb       , 76.838  , 86.847 ,    81.068     ,   77.125   ,     72.549     ,  98.079   , 23.254 ,   32.243   ,  90.810   ,   19.220
   usb_adaptor   , 90.298  , 96.024 ,    74.900     ,   69.672   ,     62.278     ,  97.475   , 13.632 ,   25.773   ,  85.829   ,   14.793
     vcpill      , 82.240  , 91.618 ,    79.503     ,   79.490   ,     69.741     ,  97.833   , 37.243 ,   44.549   ,  87.951   ,   28.658
  wooden_beads   , 81.633  , 92.440 ,    85.281     ,   83.712   ,     75.077     ,  97.183   , 27.348 ,   32.701   ,  86.415   ,   19.547
    woodstick    , 76.440  , 87.285 ,    74.109     ,   59.029   ,     59.770     ,  93.875   , 14.734 ,   20.065   ,  74.383   ,   11.151
     zipper      , 99.920  , 99.960 ,    96.941     ,   98.049   ,     93.778     ,  98.684   , 49.904 ,   53.242   ,  95.286   ,   36.278
       Avg       , 85.417  , 92.712 ,    81.148     ,   77.998   ,     74.902     ,  97.080   , 23.520 ,   29.806   ,  87.894   ,   18.067
