      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 70.792  , 84.918 ,    63.646     ,   54.665   ,     56.267     ,  94.607   , 7.752  ,   15.941   ,  71.957   ,    8.661
   bottle_cap    , 93.709  , 97.452 ,    83.071     ,   82.154   ,     73.186     ,  98.630   , 27.378 ,   33.365   ,  93.561   ,   20.023
 button_battery  , 68.709  , 84.045 ,    67.541     ,   76.216   ,     76.789     ,  93.494   , 19.700 ,   24.888   ,  76.353   ,   14.213
     end_cap     , 58.934  , 74.669 ,    62.710     ,   68.070   ,     74.007     ,  86.663   , 2.650  ,   6.646    ,  63.771   ,    3.437
     eraser      , 80.489  , 91.676 ,    75.504     ,   72.932   ,     66.667     ,  97.956   , 21.333 ,   30.948   ,  89.259   ,   18.307
    fire_hood    , 75.440  , 87.246 ,    72.500     ,   63.113   ,     61.130     ,  97.587   , 14.143 ,   20.226   ,  83.152   ,   11.251
      mint       , 63.628  , 88.287 ,    62.779     ,   61.901   ,     65.630     ,  91.912   , 4.712  ,   10.352   ,  61.741   ,    5.459
     mounts      , 94.771  , 97.249 ,    77.637     ,   72.339   ,     63.222     ,  95.423   , 19.568 ,   28.116   ,  82.361   ,   16.357
       pcb       , 67.583  , 77.788 ,    63.099     ,   71.258   ,     76.471     ,  90.775   , 1.468  ,   3.809    ,  68.625   ,    1.942
  phone_battery  , 43.219  , 68.053 ,    60.689     ,   50.653   ,     62.281     ,  95.557   , 6.224  ,   10.184   ,  80.731   ,    5.365
   plastic_nut   , 81.560  , 90.885 ,    71.132     ,   61.111   ,     55.556     ,  96.373   , 16.947 ,   26.227   ,  84.667   ,   15.093
  plastic_plug   , 65.074  , 81.541 ,    69.007     ,   59.424   ,     60.619     ,  97.798   , 20.340 ,   26.889   ,  88.899   ,   15.532
 porcelain_doll  , 81.209  , 90.203 ,    77.647     ,   62.657   ,     62.799     ,  96.803   , 10.187 ,   18.058   ,  89.211   ,    9.925
    regulator    , 73.277  , 85.259 ,    43.941     ,   27.442   ,     41.739     ,  85.361   , 0.129  ,   0.557    ,  60.696   ,    0.279
rolled_strip_base, 85.703  , 92.052 ,    76.386     ,   87.962   ,     82.857     ,  96.580   , 9.659  ,   14.768   ,  91.011   ,    7.973
  sim_card_set   , 50.875  , 74.047 ,    59.344     ,   59.941   ,     68.053     ,  97.297   , 12.418 ,   18.589   ,  84.864   ,   10.247
     switch      , 72.835  , 86.573 ,    66.966     ,   70.300   ,     71.648     ,  82.724   , 5.745  ,   11.086   ,  73.830   ,    5.868
      tape       , 93.500  , 97.452 ,    83.086     ,   82.021   ,     72.065     ,  97.552   , 27.871 ,   38.810   ,  90.939   ,   24.077
  terminalblock  , 92.468  , 96.624 ,    76.206     ,   82.127   ,     74.400     ,  97.067   , 22.893 ,   31.963   ,  90.978   ,   19.021
   toothbrush    , 65.278  , 82.626 ,    68.901     ,   74.434   ,     73.160     ,  93.067   , 15.013 ,   19.964   ,  77.208   ,   11.089
       toy       , 58.792  , 72.601 ,    56.186     ,   61.564   ,     73.666     ,  88.084   , 1.906  ,   5.494    ,  62.532   ,    2.825
    toy_brick    , 61.458  , 76.392 ,    57.586     ,   53.146   ,     66.034     ,  93.542   , 4.235  ,   9.678    ,  73.547   ,    5.085
   transistor1   , 85.667  , 92.410 ,    80.501     ,   83.675   ,     79.503     ,  98.013   , 23.770 ,   27.558   ,  91.066   ,   15.981
     u_block     , 71.556  , 84.349 ,    72.599     ,   59.799   ,     58.993     ,  98.547   , 22.796 ,   29.575   ,  93.240   ,   17.354
       usb       , 72.018  , 84.321 ,    64.599     ,   59.701   ,     63.067     ,  95.062   , 5.693  ,   10.588   ,  79.879   ,    5.590
   usb_adaptor   , 74.960  , 86.300 ,    61.013     ,   52.356   ,     56.016     ,  93.737   , 3.497  ,   8.212    ,  74.988   ,    4.282
     vcpill      , 67.080  , 83.368 ,    70.041     ,   67.993   ,     63.158     ,  96.884   , 26.760 ,   35.631   ,  85.998   ,   21.677
  wooden_beads   , 79.719  , 91.917 ,    81.232     ,   79.271   ,     71.958     ,  96.960   , 23.846 ,   31.045   ,  87.378   ,   18.374
    woodstick    , 63.680  , 76.589 ,    64.565     ,   43.390   ,     49.485     ,  91.389   , 3.727  ,   10.246   ,  68.698   ,    5.400
     zipper      , 98.600  , 99.357 ,    86.693     ,   92.395   ,     81.975     ,  96.309   , 29.013 ,   35.967   ,  87.228   ,   21.927
       Avg       , 73.753  , 85.875 ,    69.227     ,   66.467   ,     66.747     ,  94.392   , 13.712 ,   19.846   ,  80.279   ,   11.420
