      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 91.136  , 96.242 ,    68.516     ,   46.961   ,     63.043     ,  94.959   , 2.128  ,   5.463    ,  75.341   ,    2.808
   bottle_cap    , 93.505  , 97.198 ,    88.880     ,   87.692   ,     79.245     ,  99.182   , 24.744 ,   30.811   ,  95.831   ,   18.211
 button_battery  , 66.013  , 82.090 ,    70.633     ,   78.228   ,     78.873     ,  95.310   , 18.917 ,   25.913   ,  82.082   ,   14.885
     end_cap     , 74.760  , 85.813 ,    70.985     ,   74.698   ,     75.899     ,  91.395   , 7.530  ,   14.924   ,  77.398   ,    8.064
     eraser      , 80.208  , 92.027 ,    83.506     ,   84.535   ,     74.150     ,  98.766   , 24.797 ,   31.129   ,  93.017   ,   18.434
    fire_hood    , 81.920  , 91.916 ,    79.255     ,   76.194   ,     69.492     ,  98.214   , 16.025 ,   24.221   ,  85.042   ,   13.779
      mint       , 51.780  , 85.336 ,    60.233     ,   58.309   ,     65.217     ,  92.749   , 3.857  ,   9.312    ,  66.278   ,    4.883
     mounts      , 91.176  , 93.800 ,    84.595     ,   73.462   ,     73.716     ,  98.400   , 22.786 ,   31.095   ,  91.698   ,   18.410
       pcb       , 82.542  , 91.074 ,    73.829     ,   82.895   ,     76.812     ,  94.395   , 2.930  ,   6.591    ,  78.922   ,    3.408
  phone_battery  , 93.709  , 96.583 ,    85.517     ,   84.186   ,     74.164     ,  98.367   , 25.788 ,   35.253   ,  91.073   ,   21.398
   plastic_nut   , 87.000  , 93.689 ,    81.461     ,   72.346   ,     66.148     ,  98.628   , 25.676 ,   33.318   ,  92.656   ,   19.989
  plastic_plug   , 81.332  , 91.422 ,    76.684     ,   70.063   ,     63.668     ,  98.765   , 23.544 ,   30.708   ,  93.503   ,   18.139
 porcelain_doll  , 87.051  , 87.899 ,    83.440     ,   69.617   ,     70.120     ,  98.188   , 15.480 ,   24.959   ,  93.529   ,   14.259
    regulator    , 71.715  , 86.325 ,    48.916     ,   26.254   ,     42.000     ,  91.313   , 0.369  ,   1.483    ,  72.871   ,    0.747
rolled_strip_base, 99.101  , 99.580 ,    97.069     ,   98.651   ,     94.818     ,  99.264   , 18.885 ,   26.801   ,  97.774   ,   15.474
  sim_card_set   , 94.792  , 97.230 ,    92.920     ,   93.556   ,     86.162     ,  98.866   , 48.513 ,   48.723   ,  92.294   ,   32.208
     switch      , 93.791  , 97.065 ,    81.493     ,   83.569   ,     77.982     ,  91.326   , 17.800 ,   26.643   ,  84.357   ,   15.369
      tape       , 96.962  , 98.600 ,    93.459     ,   92.931   ,     86.038     ,  99.411   , 38.229 ,   45.471   ,  97.490   ,   29.425
  terminalblock  , 97.837  , 99.197 ,    88.870     ,   88.643   ,     85.849     ,  99.039   , 23.096 ,   29.115   ,  96.246   ,   17.038
   toothbrush    , 85.948  , 92.872 ,    75.946     ,   79.172   ,     76.744     ,  94.911   , 18.180 ,   25.030   ,  83.466   ,   14.306
       toy       , 77.500  , 82.479 ,    71.609     ,   76.514   ,     74.662     ,  92.259   , 8.173  ,   16.388   ,  79.253   ,    8.925
    toy_brick    , 65.250  , 78.220 ,    60.758     ,   55.639   ,     65.070     ,  95.091   , 8.592  ,   17.048   ,  80.079   ,    9.318
   transistor1   , 97.542  , 98.840 ,    94.621     ,   95.870   ,     90.385     ,  98.980   , 28.284 ,   33.030   ,  95.298   ,   19.782
     u_block     , 84.821  , 92.068 ,    79.837     ,   70.879   ,     64.103     ,  99.146   , 27.055 ,   31.300   ,  95.918   ,   18.554
       usb       , 79.412  , 89.255 ,    77.416     ,   71.824   ,     70.361     ,  97.109   , 13.608 ,   22.974   ,  87.556   ,   12.978
   usb_adaptor   , 84.179  , 92.758 ,    70.900     ,   62.686   ,     60.771     ,  96.766   , 10.344 ,   20.359   ,  83.154   ,   11.333
     vcpill      , 85.360  , 93.062 ,    76.476     ,   77.088   ,     66.474     ,  97.240   , 27.318 ,   35.566   ,  85.915   ,   21.630
  wooden_beads   , 79.082  , 91.392 ,    85.434     ,   83.388   ,     75.429     ,  96.939   , 24.907 ,   32.624   ,  85.991   ,   19.491
    woodstick    , 77.440  , 87.324 ,    75.600     ,   61.657   ,     57.265     ,  94.301   , 13.052 ,   19.843   ,  76.623   ,   11.014
     zipper      , 99.920  , 99.960 ,    96.995     ,   98.175   ,     92.857     ,  98.784   , 52.296 ,   53.557   ,  95.561   ,   36.572
       Avg       , 84.426  , 92.044 ,    79.195     ,   75.856   ,     73.250     ,  96.602   , 19.763 ,   26.322   ,  86.874   ,   15.694
