      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.990  , 94.819 ,    71.427     ,   57.062   ,     62.921     ,  95.430   , 6.933  ,   11.610   ,  75.390   ,    6.163
   bottle_cap    , 96.487  , 98.633 ,    89.783     ,   89.597   ,     81.250     ,  99.175   , 28.916 ,   33.701   ,  95.684   ,   20.265
 button_battery  , 66.830  , 84.204 ,    70.438     ,   78.840   ,     78.383     ,  95.098   , 23.110 ,   28.042   ,  81.878   ,   16.307
     end_cap     , 69.631  , 83.380 ,    68.435     ,   73.166   ,     75.824     ,  91.068   , 7.748  ,   16.178   ,  76.649   ,    8.801
     eraser      , 82.532  , 93.067 ,    84.800     ,   86.789   ,     76.687     ,  98.803   , 30.098 ,   36.185   ,  92.799   ,   22.089
    fire_hood    , 80.960  , 91.116 ,    80.456     ,   76.384   ,     68.526     ,  98.398   , 21.085 ,   30.949   ,  86.263   ,   18.308
      mint       , 53.385  , 86.274 ,    63.958     ,   62.678   ,     65.371     ,  93.607   , 7.958  ,   15.338   ,  67.080   ,    8.306
     mounts      , 91.789  , 94.858 ,    84.102     ,   75.723   ,     71.111     ,  98.319   , 25.649 ,   32.405   ,  91.794   ,   19.335
       pcb       , 82.125  , 90.938 ,    72.915     ,   82.227   ,     77.029     ,  93.641   , 3.340  ,   6.965    ,  77.171   ,    3.608
  phone_battery  , 97.386  , 98.732 ,    83.243     ,   79.939   ,     74.052     ,  98.126   , 27.220 ,   35.547   ,  90.864   ,   21.615
   plastic_nut   , 85.120  , 93.108 ,    80.526     ,   71.143   ,     64.179     ,  98.446   , 26.045 ,   33.278   ,  91.966   ,   19.960
  plastic_plug   , 69.240  , 85.285 ,    70.951     ,   63.979   ,     61.170     ,  98.617   , 26.151 ,   31.621   ,  92.891   ,   18.780
 porcelain_doll  , 89.420  , 91.925 ,    84.857     ,   73.571   ,     73.092     ,  98.004   , 16.748 ,   26.273   ,  92.631   ,   15.123
    regulator    , 74.720  , 87.255 ,    48.765     ,   28.515   ,     41.649     ,  90.283   , 1.017  ,   1.733    ,  69.470   ,    0.874
rolled_strip_base, 98.080  , 98.960 ,    96.248     ,   98.230   ,     94.141     ,  99.082   , 18.484 ,   24.551   ,  97.285   ,   13.993
  sim_card_set   , 93.583  , 96.805 ,    90.369     ,   91.163   ,     82.741     ,  98.937   , 50.551 ,   50.587   ,  92.272   ,   33.857
     switch      , 92.320  , 96.133 ,    79.761     ,   82.652   ,     76.000     ,  90.102   , 14.389 ,   21.610   ,  82.568   ,   12.114
      tape       , 98.346  , 99.266 ,    94.311     ,   93.817   ,     86.713     ,  99.405   , 38.378 ,   44.472   ,  97.491   ,   28.594
  terminalblock  , 97.716  , 99.111 ,    87.554     ,   88.264   ,     84.375     ,  99.062   , 23.984 ,   30.768   ,  96.337   ,   18.181
   toothbrush    , 82.435  , 91.011 ,    76.590     ,   79.535   ,     76.444     ,  95.118   , 21.489 ,   27.576   ,  84.776   ,   15.993
       toy       , 68.000  , 82.224 ,    65.492     ,   73.291   ,     73.958     ,  91.545   , 6.070  ,   12.435   ,  76.744   ,    6.630
    toy_brick    , 63.208  , 75.565 ,    63.740     ,   58.865   ,     66.667     ,  96.181   , 10.783 ,   19.266   ,  83.020   ,   10.660
   transistor1   , 97.333  , 98.880 ,    95.747     ,   96.776   ,     91.852     ,  99.070   , 32.250 ,   35.403   ,  95.764   ,   21.509
     u_block     , 86.480  , 93.997 ,    80.323     ,   73.286   ,     64.207     ,  99.146   , 31.445 ,   37.523   ,  95.835   ,   23.094
       usb       , 73.448  , 83.018 ,    76.192     ,   71.195   ,     68.950     ,  97.015   , 15.430 ,   24.208   ,  86.836   ,   13.771
   usb_adaptor   , 82.085  , 92.505 ,    69.769     ,   65.328   ,     58.675     ,  96.665   , 12.098 ,   22.464   ,  83.484   ,   12.653
     vcpill      , 84.040  , 92.838 ,    75.335     ,   75.878   ,     64.674     ,  97.473   , 32.709 ,   40.396   ,  87.120   ,   25.310
  wooden_beads   , 78.954  , 91.452 ,    85.637     ,   83.556   ,     76.000     ,  97.108   , 28.640 ,   33.466   ,  86.638   ,   20.096
    woodstick    , 73.080  , 85.969 ,    77.830     ,   66.091   ,     60.944     ,  95.227   , 20.605 ,   26.413   ,  80.759   ,   15.216
     zipper      , 99.880  , 99.940 ,    96.223     ,   97.860   ,     93.304     ,  98.661   , 52.823 ,   54.014   ,  95.562   ,   37.000
       Avg       , 83.220  , 91.709 ,    78.859     ,   76.513   ,     73.030     ,  96.560   , 22.072 ,   28.166   ,  86.834   ,   16.940
