      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 87.092  , 92.833 ,    69.813     ,   60.167   ,     58.896     ,  95.766   , 12.765 ,   22.078   ,  77.398   ,   12.409
   bottle_cap    , 79.575  , 89.146 ,    74.312     ,   69.387   ,     70.370     ,  98.648   , 21.780 ,   29.692   ,  92.587   ,   17.434
 button_battery  , 81.944  , 89.366 ,    61.730     ,   75.091   ,     76.740     ,  93.988   , 20.529 ,   29.095   ,  75.215   ,   17.024
     end_cap     , 62.780  , 78.741 ,    57.553     ,   65.114   ,     73.230     ,  88.451   , 2.762  ,   8.815    ,  71.341   ,    4.611
     eraser      , 87.861  , 92.259 ,    87.926     ,   86.532   ,     80.386     ,  98.691   , 25.032 ,   31.892   ,  91.436   ,   18.971
    fire_hood    , 81.000  , 89.276 ,    76.927     ,   71.204   ,     65.385     ,  97.926   , 24.109 ,   30.991   ,  82.184   ,   18.337
      mint       , 70.616  , 91.322 ,    65.127     ,   66.665   ,     65.660     ,  92.147   , 6.581  ,   14.791   ,  56.251   ,    7.986
     mounts      , 92.688  , 95.063 ,    81.278     ,   67.767   ,     68.502     ,  99.012   , 28.545 ,   35.536   ,  94.451   ,   21.607
       pcb       , 57.792  , 75.825 ,    58.837     ,   70.486   ,     75.421     ,  90.908   , 3.293  ,   5.878    ,  62.686   ,    3.028
  phone_battery  , 84.395  , 90.684 ,    67.852     ,   63.178   ,     63.158     ,  95.084   , 8.720  ,   15.292   ,  80.796   ,    8.279
   plastic_nut   , 71.040  , 81.609 ,    67.678     ,   52.070   ,     56.091     ,  95.651   , 10.146 ,   17.491   ,  79.777   ,    9.583
  plastic_plug   , 65.278  , 82.338 ,    70.270     ,   64.726   ,     61.392     ,  97.918   , 16.720 ,   24.345   ,  88.508   ,   13.859
 porcelain_doll  , 71.773  , 83.304 ,    68.603     ,   53.934   ,     54.857     ,  96.410   , 5.289  ,   12.307   ,  86.140   ,    6.557
    regulator    , 39.583  , 59.242 ,    40.735     ,   21.222   ,     41.509     ,  87.067   , 0.205  ,   1.178    ,  53.571   ,    0.593
rolled_strip_base, 92.320  , 94.807 ,    79.425     ,   90.577   ,     81.932     ,  98.771   , 17.855 ,   26.377   ,  95.591   ,   15.192
  sim_card_set   , 64.000  , 79.081 ,    75.327     ,   76.110   ,     72.931     ,  96.926   , 24.831 ,   31.395   ,  83.035   ,   18.620
     switch      , 58.047  , 77.182 ,    60.538     ,   67.831   ,     68.582     ,  94.709   , 17.360 ,   24.334   ,  76.428   ,   13.853
      tape       , 93.000  , 95.233 ,    86.843     ,   87.224   ,     79.389     ,  98.773   , 28.209 ,   36.487   ,  94.692   ,   22.314
  terminalblock  , 87.981  , 93.198 ,    72.831     ,   80.361   ,     71.181     ,  97.620   , 14.001 ,   22.076   ,  89.940   ,   12.407
   toothbrush    , 66.708  , 75.857 ,    62.043     ,   65.822   ,     72.527     ,  92.256   , 8.453  ,   15.992   ,  73.726   ,    8.691
       toy       , 48.167  , 67.581 ,    49.182     ,   57.608   ,     73.540     ,  87.560   , 0.617  ,   1.611    ,  59.835   ,    0.812
    toy_brick    , 78.250  , 86.449 ,    75.918     ,   75.051   ,     72.300     ,  97.097   , 21.128 ,   29.377   ,  80.356   ,   17.218
   transistor1   , 91.250  , 94.453 ,    86.894     ,   90.068   ,     82.100     ,  98.079   , 22.667 ,   29.013   ,  91.303   ,   16.968
     u_block     , 67.730  , 80.637 ,    74.622     ,   63.697   ,     62.774     ,  98.414   , 19.372 ,   26.130   ,  92.232   ,   15.028
       usb       , 60.498  , 73.007 ,    66.860     ,   64.051   ,     63.052     ,  94.553   , 6.660  ,   14.305   ,  71.757   ,    7.704
   usb_adaptor   , 75.725  , 87.676 ,    62.567     ,   57.867   ,     55.731     ,  93.689   , 6.267  ,   12.888   ,  73.801   ,    6.888
     vcpill      , 74.800  , 85.725 ,    79.698     ,   79.112   ,     71.519     ,  98.511   , 41.249 ,   44.361   ,  91.798   ,   28.502
  wooden_beads   , 78.614  , 88.913 ,    75.977     ,   73.704   ,     68.159     ,  96.789   , 17.908 ,   24.616   ,  84.292   ,   14.035
    woodstick    , 78.640  , 87.007 ,    81.839     ,   72.593   ,     68.519     ,  93.753   , 34.796 ,   41.582   ,  85.154   ,   26.249
     zipper      , 100.000 , 98.000 ,    93.523     ,   96.427   ,     90.090     ,  97.175   , 27.472 ,   31.929   ,  91.363   ,   18.998
       Avg       , 74.972  , 85.194 ,    71.091     ,   69.521   ,     68.864     ,  95.411   , 16.511 ,   23.062   ,  80.922   ,   13.459
