      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 94.796  , 97.384 ,    79.151     ,   64.500   ,     64.504     ,  97.097   , 17.380 ,   25.131   ,  84.293   ,   14.372
   bottle_cap    , 96.374  , 98.275 ,    88.083     ,   86.485   ,     77.846     ,  99.322   , 32.958 ,   34.974   ,  96.246   ,   21.193
 button_battery  , 76.535  , 87.722 ,    79.444     ,   82.990   ,     78.785     ,  97.470   , 39.314 ,   43.337   ,  85.903   ,   27.663
     end_cap     , 88.062  , 93.497 ,    79.071     ,   83.185   ,     77.805     ,  96.580   , 12.248 ,   21.504   ,  89.069   ,   12.048
     eraser      , 93.067  , 96.759 ,    89.619     ,   87.487   ,     76.270     ,  98.603   , 32.571 ,   40.144   ,  91.669   ,   25.112
    fire_hood    , 88.021  , 93.598 ,    83.670     ,   78.306   ,     69.494     ,  98.458   , 31.181 ,   37.367   ,  89.779   ,   22.976
      mint       , 68.556  , 91.167 ,    66.339     ,   64.848   ,     64.795     ,  94.422   , 11.830 ,   22.706   ,  72.183   ,   12.807
     mounts      , 97.015  , 98.441 ,    84.009     ,   73.956   ,     70.932     ,  98.993   , 33.802 ,   36.383   ,  93.928   ,   22.236
       pcb       , 92.568  , 96.415 ,    87.457     ,   91.935   ,     83.402     ,  97.784   , 15.889 ,   22.149   ,  87.396   ,   12.454
  phone_battery  , 97.292  , 98.793 ,    88.165     ,   84.400   ,     77.164     ,  95.252   , 24.354 ,   33.106   ,  93.063   ,   19.836
   plastic_nut   , 96.368  , 98.157 ,    86.648     ,   79.093   ,     69.920     ,  99.061   , 31.420 ,   36.732   ,  95.765   ,   22.498
  plastic_plug   , 81.448  , 91.299 ,    81.992     ,   78.219   ,     67.820     ,  98.450   , 28.623 ,   35.450   ,  91.363   ,   21.544
 porcelain_doll  , 94.258  , 97.184 ,    82.592     ,   74.555   ,     66.290     ,  98.460   , 23.483 ,   32.034   ,  92.822   ,   19.072
    regulator    , 87.886  , 93.350 ,    73.289     ,   60.025   ,     53.630     ,  96.721   , 17.203 ,   26.780   ,  85.839   ,   15.460
rolled_strip_base, 99.565  , 99.802 ,    98.343     ,   99.194   ,     95.114     ,  99.539   , 30.189 ,   37.563   ,  98.664   ,   23.125
  sim_card_set   , 96.229  , 97.773 ,    91.986     ,   93.124   ,     85.417     ,  98.064   , 46.059 ,   48.198   ,  88.857   ,   31.750
     switch      , 95.138  , 97.948 ,    89.586     ,   92.311   ,     82.127     ,  97.951   , 39.988 ,   43.551   ,  92.155   ,   27.837
      tape       , 99.482  , 99.743 ,    96.523     ,   95.771   ,     88.677     ,  99.587   , 40.246 ,   44.468   ,  98.305   ,   28.591
  terminalblock  , 96.727  , 98.620 ,    91.965     ,   93.149   ,     85.020     ,  99.617   , 36.488 ,   42.384   ,  97.791   ,   26.890
   toothbrush    , 96.244  , 97.958 ,    86.589     ,   85.952   ,     84.120     ,  97.263   , 29.085 ,   36.525   ,  90.722   ,   22.343
       toy       , 86.964  , 91.715 ,    79.962     ,   82.567   ,     81.360     ,  94.185   , 8.814  ,   16.486   ,  82.666   ,    8.983
    toy_brick    , 77.651  , 87.511 ,    79.005     ,   74.580   ,     67.741     ,  97.412   , 24.926 ,   32.008   ,  89.466   ,   19.053
   transistor1   , 99.678  , 99.841 ,    96.769     ,   97.593   ,     92.285     ,  99.058   , 36.773 ,   39.483   ,  95.352   ,   24.598
     u_block     , 97.347  , 98.668 ,    86.783     ,   81.131   ,     70.022     ,  99.169   , 35.170 ,   44.347   ,  94.288   ,   28.491
       usb       , 90.831  , 94.766 ,    89.645     ,   88.863   ,     80.377     ,  99.075   , 35.524 ,   43.868   ,  93.863   ,   28.097
   usb_adaptor   , 90.026  , 95.308 ,    81.514     ,   77.946   ,     68.625     ,  97.597   , 23.344 ,   31.819   ,  87.001   ,   18.919
     vcpill      , 86.002  , 93.099 ,    83.454     ,   81.738   ,     70.044     ,  98.151   , 42.493 ,   48.043   ,  88.515   ,   31.616
  wooden_beads   , 89.253  , 95.887 ,    85.711     ,   84.627   ,     73.897     ,  96.767   , 27.195 ,   33.966   ,  83.668   ,   20.457
    woodstick    , 75.132  , 87.891 ,    77.959     ,   67.929   ,     60.667     ,  96.299   , 38.572 ,   45.298   ,  80.470   ,   29.281
     zipper      , 99.310  , 99.527 ,    98.396     ,   98.996   ,     95.222     ,  98.831   , 49.721 ,   53.687   ,  95.771   ,   36.694
       Avg       , 90.927  , 95.603 ,    85.457     ,   82.849   ,     75.979     ,  97.841   , 29.895 ,   36.316   ,  90.229   ,   22.533
