      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 96.569  , 98.493 ,    75.766     ,   61.936   ,     68.555     ,  96.239   , 12.083 ,   19.831   ,  79.243   ,   11.007
   bottle_cap    , 98.979  , 99.549 ,    90.715     ,   91.183   ,     82.166     ,  99.174   , 32.838 ,   34.852   ,  95.599   ,   21.104
 button_battery  , 62.827  , 80.073 ,    70.870     ,   77.435   ,     79.702     ,  95.106   , 24.709 ,   30.948   ,  79.992   ,   18.307
     end_cap     , 75.481  , 83.139 ,    70.117     ,   71.241   ,     77.043     ,  92.348   , 6.596  ,   15.035   ,  80.443   ,    8.129
     eraser      , 91.546  , 96.152 ,    90.480     ,   89.778   ,     80.374     ,  98.778   , 29.350 ,   35.577   ,  92.826   ,   21.638
    fire_hood    , 81.120  , 91.499 ,    80.034     ,   76.630   ,     67.451     ,  98.444   , 29.320 ,   35.593   ,  85.975   ,   21.649
      mint       , 60.720  , 89.259 ,    65.941     ,   67.043   ,     66.553     ,  93.749   , 11.670 ,   23.121   ,  66.176   ,   13.072
     mounts      , 95.261  , 97.472 ,    83.889     ,   72.702   ,     71.676     ,  98.788   , 31.582 ,   36.081   ,  93.713   ,   22.011
       pcb       , 83.750  , 90.812 ,    77.309     ,   84.745   ,     79.208     ,  95.895   , 8.770  ,   14.621   ,  80.943   ,    7.887
  phone_battery  , 97.753  , 98.738 ,    87.325     ,   85.447   ,     76.696     ,  98.148   , 28.301 ,   34.008   ,  92.053   ,   20.488
   plastic_nut   , 95.960  , 98.045 ,    86.380     ,   77.285   ,     70.677     ,  98.843   , 29.887 ,   36.688   ,  93.751   ,   22.465
  plastic_plug   , 77.533  , 90.390 ,    80.333     ,   77.894   ,     67.391     ,  98.583   , 34.557 ,   41.966   ,  92.683   ,   26.555
 porcelain_doll  , 83.660  , 90.849 ,    78.062     ,   63.833   ,     64.179     ,  97.576   , 10.329 ,   18.591   ,  91.504   ,   10.248
    regulator    , 71.635  , 85.757 ,    53.108     ,   28.032   ,     41.943     ,  90.690   , 1.147  ,   2.128    ,  69.892   ,    1.075
rolled_strip_base, 99.796  , 99.908 ,    97.134     ,   98.743   ,     94.027     ,  99.346   , 25.900 ,   31.365   ,  98.121   ,   18.599
  sim_card_set   , 92.583  , 96.366 ,    90.507     ,   91.381   ,     83.422     ,  98.903   , 49.890 ,   51.422   ,  91.992   ,   34.610
     switch      , 94.894  , 97.395 ,    85.869     ,   88.737   ,     79.707     ,  94.051   , 30.198 ,   37.383   ,  86.012   ,   22.988
      tape       , 98.462  , 99.155 ,    94.595     ,   93.441   ,     87.633     ,  99.448   , 33.389 ,   39.916   ,  97.815   ,   24.934
  terminalblock  , 99.559  , 99.789 ,    89.633     ,   91.081   ,     85.647     ,  99.316   , 31.377 ,   36.863   ,  96.766   ,   22.597
   toothbrush    , 94.444  , 97.400 ,    84.254     ,   86.809   ,     81.184     ,  95.589   , 24.443 ,   31.711   ,  85.547   ,   18.843
       toy       , 74.042  , 86.308 ,    69.003     ,   75.219   ,     75.240     ,  92.475   , 6.071  ,   13.004   ,  76.931   ,    6.954
    toy_brick    , 75.667  , 84.556 ,    70.657     ,   68.496   ,     68.597     ,  97.164   , 20.858 ,   27.865   ,  86.165   ,   16.188
   transistor1   , 98.458  , 99.237 ,    96.802     ,   97.425   ,     92.558     ,  99.058   , 32.429 ,   35.889   ,  95.474   ,   21.869
     u_block     , 94.260  , 96.913 ,    84.068     ,   77.087   ,     69.048     ,  99.121   , 34.090 ,   42.025   ,  95.511   ,   26.602
       usb       , 82.312  , 89.143 ,    80.730     ,   78.488   ,     70.823     ,  98.126   , 29.080 ,   39.115   ,  89.739   ,   24.312
   usb_adaptor   , 95.411  , 98.218 ,    78.778     ,   73.092   ,     67.081     ,  97.470   , 20.934 ,   28.763   ,  86.918   ,   16.797
     vcpill      , 74.920  , 86.718 ,    79.056     ,   78.786   ,     70.000     ,  98.069   , 40.543 ,   46.377   ,  89.429   ,   30.189
  wooden_beads   , 89.498  , 96.242 ,    85.385     ,   84.820   ,     76.796     ,  97.181   , 28.695 ,   35.514   ,  86.268   ,   21.591
    woodstick    , 79.080  , 89.493 ,    76.457     ,   66.268   ,     60.444     ,  95.208   , 28.908 ,   36.708   ,  80.889   ,   22.480
     zipper      , 100.000 ,100.000 ,    97.149     ,   98.249   ,     94.092     ,  98.322   , 44.841 ,   48.338   ,  94.211   ,   31.872
       Avg       , 87.206  , 93.569 ,    81.680     ,   79.110   ,     74.997     ,  97.040   , 25.760 ,   32.043   ,  87.753   ,   19.569
