      Name       , S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
    audiojack    , 95.261  , 97.721 ,    74.129     ,   60.599   ,     66.480     ,  96.204   , 12.820 ,   19.057   ,  78.590   ,   10.532
   bottle_cap    , 95.588  , 97.626 ,    88.190     ,   86.919   ,     80.795     ,  99.124   , 32.415 ,   34.986   ,  95.375   ,   21.202
 button_battery  , 69.363  , 84.907 ,    72.807     ,   80.381   ,     79.298     ,  95.154   , 29.553 ,   34.925   ,  80.220   ,   21.157
     end_cap     , 72.676  , 82.346 ,    68.418     ,   69.118   ,     76.518     ,  92.153   , 5.914  ,   14.958   ,  79.705   ,    8.084
     eraser      , 89.864  , 95.707 ,    89.670     ,   88.564   ,     79.437     ,  98.669   , 29.448 ,   36.583   ,  92.017   ,   22.386
    fire_hood    , 85.720  , 93.457 ,    80.328     ,   75.506   ,     66.418     ,  98.346   , 25.713 ,   36.052   ,  86.151   ,   21.990
      mint       , 63.585  , 90.130 ,    63.859     ,   63.840   ,     65.499     ,  93.215   , 8.462  ,   16.385   ,  64.492   ,    8.924
     mounts      , 93.342  , 96.418 ,    79.396     ,   64.750   ,     67.449     ,  98.498   , 25.176 ,   32.409   ,  93.082   ,   19.338
       pcb       , 81.917  , 89.415 ,    77.981     ,   84.687   ,     79.412     ,  95.890   , 7.013  ,   12.847   ,  80.878   ,    6.864
  phone_battery  , 99.673  , 99.847 ,    86.236     ,   83.100   ,     75.070     ,  98.132   , 25.283 ,   33.016   ,  92.203   ,   19.772
   plastic_nut   , 99.680  , 99.846 ,    88.909     ,   81.995   ,     76.190     ,  98.849   , 33.479 ,   39.227   ,  93.973   ,   24.399
  plastic_plug   , 82.435  , 91.983 ,    80.954     ,   77.627   ,     67.647     ,  98.704   , 36.611 ,   41.737   ,  93.207   ,   26.372
 porcelain_doll  , 72.508  , 84.449 ,    68.866     ,   53.460   ,     56.085     ,  96.941   , 5.418  ,   12.565   ,  88.886   ,    6.704
    regulator    , 70.312  , 84.657 ,    55.002     ,   28.291   ,     44.011     ,  90.822   , 1.052  ,   1.788    ,  69.970   ,    0.902
rolled_strip_base, 99.755  , 99.890 ,    96.889     ,   98.648   ,     93.701     ,  99.386   , 26.716 ,   33.356   ,  98.263   ,   20.017
  sim_card_set   , 92.083  , 95.582 ,    90.504     ,   91.433   ,     83.908     ,  98.864   , 50.920 ,   52.318   ,  92.190   ,   35.426
     switch      , 94.281  , 96.825 ,    84.405     ,   87.057   ,     78.855     ,  94.515   , 32.430 ,   39.210   ,  86.774   ,   24.386
      tape       , 98.231  , 99.137 ,    93.818     ,   93.282   ,     87.234     ,  99.435   , 35.868 ,   40.738   ,  97.666   ,   25.579
  terminalblock  , 99.679  , 99.851 ,    89.422     ,   91.428   ,     84.186     ,  99.333   , 32.667 ,   37.592   ,  96.965   ,   23.147
   toothbrush    , 91.789  , 95.896 ,    81.973     ,   83.792   ,     79.912     ,  95.688   , 25.565 ,   32.600   ,  85.560   ,   19.474
       toy       , 77.542  , 87.972 ,    71.370     ,   78.994   ,     74.386     ,  91.580   , 6.878  ,   13.802   ,  76.641   ,    7.413
    toy_brick    , 78.042  , 87.930 ,    68.297     ,   65.073   ,     67.755     ,  96.908   , 17.330 ,   25.113   ,  86.274   ,   14.360
   transistor1   , 97.167  , 98.581 ,    94.742     ,   95.176   ,     90.654     ,  98.973   , 31.331 ,   34.211   ,  95.117   ,   20.635
     u_block     , 94.770  , 97.549 ,    80.425     ,   71.882   ,     65.152     ,  98.977   , 33.528 ,   39.687   ,  94.578   ,   24.756
       usb       , 80.310  , 87.650 ,    81.679     ,   78.713   ,     71.667     ,  98.225   , 26.345 ,   36.465   ,  90.469   ,   22.298
   usb_adaptor   , 94.364  , 97.895 ,    78.401     ,   75.723   ,     66.472     ,  97.519   , 23.335 ,   31.382   ,  87.378   ,   18.611
     vcpill      , 64.880  , 81.697 ,    72.735     ,   72.184   ,     64.952     ,  97.715   , 35.866 ,   42.455   ,  87.750   ,   26.948
  wooden_beads   , 88.138  , 95.574 ,    85.116     ,   83.623   ,     75.196     ,  96.633   , 26.458 ,   33.160   ,  84.080   ,   19.876
    woodstick    , 79.440  , 90.445 ,    79.588     ,   70.487   ,     63.529     ,  95.560   , 29.730 ,   36.506   ,  82.166   ,   22.328
     zipper      , 100.000 ,100.000 ,    97.045     ,   98.217   ,     93.534     ,  98.423   , 48.679 ,   52.606   ,  94.582   ,   35.691
       Avg       , 86.747  , 93.366 ,    80.705     ,   77.818   ,     74.047     ,  96.948   , 25.400 ,   31.591   ,  87.507   ,   19.319
